class,neck_inclination,left_hip_angle,left_bicep_angle,right_hip_angle,right_bicep_angle,y1,x1,s1,y2,x2,s2,y3,x3,s3,y4,x4,s4,y5,x5,s5,y6,x6,s6,y7,x7,s7,y8,x8,s8,y9,x9,s9,y10,x10,s10,y11,x11,s11,y12,x12,s12,y13,x13,s13,y14,x14,s14,y15,x15,s15,y16,x16,s16,y17,x17,s17
straight,18.14898242018647,88.2932953252429,110.39556891335071,82.38066010795131,98.03712708196718,0.209674,0.5852073,0.64268357,0.1630573,0.5993535,0.6955878,0.171989,0.59184664,0.6446695,0.15997836,0.6622061,0.6519715,0.16841456,0.6388428,0.6021063,0.34277606,0.72245955,0.8064277,0.36789978,0.6279725,0.66988254,0.54680735,0.5673232,0.44165185,0.5414836,0.55831945,0.2908508,0.4937056,0.39201877,0.58520085,0.50540054,0.4117108,0.26620087,0.8405885,0.6932277,0.6279308,0.79844517,0.6391209,0.60169184,0.8170354,0.42760703,0.12974088,0.7760179,0.43050694,0.5095248,0.9062929,0.4824686,0.02662051,0.853896,0.5699485,0.07304718
straight,16.29618682442162,112.16344407906914,113.2580465529897,86.57363810734127,98.2157433589522,0.19834495,0.5901374,0.61575156,0.15634394,0.60566187,0.81410843,0.16385159,0.5967559,0.7169828,0.15620485,0.66665655,0.7824347,0.16171736,0.64477056,0.6273458,0.34024855,0.72075635,0.86711043,0.366767,0.6263814,0.63496214,0.54346716,0.5755309,0.38171664,0.53884876,0.55863035,0.2755129,0.5062088,0.40454206,0.5496115,0.50573313,0.4182627,0.25521886,0.81869763,0.694219,0.6601136,0.784984,0.6398005,0.62968457,0.89865017,0.46187195,0.0968069,0.77916825,0.43009576,0.47396737,0.9151609,0.45480773,0.03280082,0.8546436,0.569576,0.060821902
straight,15.440235458910596,110.15774536891655,112.50160310241078,86.18351136232849,100.26490256279357,0.19893083,0.5943316,0.633484,0.15435699,0.6104042,0.76361495,0.1622147,0.59847116,0.7036938,0.1458401,0.66937035,0.6385759,0.15629885,0.64571446,0.6312696,0.3368628,0.7224187,0.78980285,0.36591864,0.6262598,0.6065312,0.53833055,0.57055044,0.33759418,0.53521293,0.5589465,0.27527505,0.49252146,0.3935183,0.5381139,0.5056267,0.41245803,0.22179577,0.8181119,0.70668817,0.6736808,0.78554094,0.63869065,0.66193897,0.8989724,0.4619823,0.112909876,0.7778145,0.42993608,0.4625435,0.91104007,0.4555207,0.036155816,0.8571197,0.58499926,0.075561516
straight,14.636403244014078,113.57666485985811,114.83370289261994,86.47847308163549,94.08011845802284,0.19197357,0.59775096,0.56327736,0.1468477,0.6106412,0.52350277,0.1535359,0.6004496,0.607385,0.14321344,0.6749155,0.58797026,0.15089792,0.6448732,0.6102928,0.3282418,0.7234994,0.81306845,0.36584997,0.6246861,0.6102893,0.53650945,0.5844979,0.3700161,0.54232776,0.5732838,0.35752526,0.50936246,0.410866,0.60548615,0.50887936,0.41804144,0.1972708,0.8088558,0.6949393,0.7287911,0.78588575,0.62725204,0.6752686,0.89510405,0.46021873,0.060126647,0.77493185,0.4295642,0.5519823,0.92020047,0.4376475,0.031088974,0.8799621,0.53568643,0.04504046
straight,14.121881236869458,111.26303390116468,113.95855758445538,87.00168606262596,99.05849991007256,0.1820145,0.5981163,0.6514504,0.1376543,0.6127221,0.7147638,0.14557566,0.60299,0.6985338,0.13778836,0.67561865,0.6392382,0.14604938,0.64519316,0.509783,0.32718205,0.7235256,0.80538327,0.35284555,0.6282775,0.5692316,0.5397892,0.57997125,0.38867643,0.5323322,0.5698629,0.3058131,0.5104762,0.4148921,0.61525977,0.50867,0.41994348,0.29787928,0.82246417,0.6951921,0.7180702,0.78624773,0.6285934,0.6540121,0.8978751,0.4629479,0.10361338,0.7759585,0.42937237,0.552059,0.9108511,0.48520014,0.025874604,0.8818955,0.55463433,0.059867047
straight,12.970799537967892,89.36880423270978,113.4661350962433,84.07425332398016,100.73687546463063,0.1753343,0.59933394,0.5623373,0.13532326,0.615521,0.77869004,0.14312837,0.60404813,0.7200913,0.14004676,0.67879814,0.7007321,0.14432372,0.6500865,0.5195953,0.3235161,0.7212839,0.8158646,0.36132503,0.62747973,0.5321828,0.5390891,0.5747265,0.36843804,0.5305177,0.56787634,0.3114349,0.5071663,0.40648356,0.56551945,0.50793344,0.4197607,0.30651978,0.8065591,0.6936942,0.7223979,0.7818233,0.6295921,0.6953407,0.7887682,0.43274012,0.15851876,0.7621588,0.430396,0.54663426,0.91519,0.4546201,0.027793642,0.8593172,0.5711589,0.062120464
straight,13.610395156566243,92.01875370613465,114.4265279954388,88.6316219155903,97.56068040622378,0.17497931,0.60108393,0.61945987,0.13492464,0.6180667,0.7498573,0.1424598,0.60463274,0.68893564,0.14370072,0.67788935,0.6698195,0.14874284,0.64176977,0.5537732,0.3241141,0.7218061,0.84095776,0.35246772,0.6263804,0.6297083,0.53043437,0.57724863,0.37573457,0.53399754,0.57064074,0.34610307,0.49812633,0.4044508,0.558852,0.5085707,0.41883713,0.2354957,0.79730695,0.69457114,0.71190464,0.7686929,0.6275305,0.712723,0.791474,0.43255734,0.09779518,0.76451844,0.42989975,0.6386318,0.93303406,0.4331552,0.035906192,0.8562664,0.57202214,0.055675864
straight,12.045681224026627,90.89261943653962,113.2438807406511,85.57024916732055,106.13434366377399,0.1684691,0.60039264,0.5145677,0.12746812,0.6168077,0.6978309,0.13403109,0.60447097,0.75279963,0.13440739,0.67914444,0.686158,0.13621908,0.6525655,0.5644515,0.32609636,0.72026765,0.8311683,0.349517,0.63424724,0.5456676,0.540462,0.5826418,0.3757751,0.5209857,0.5689127,0.2829157,0.5124742,0.41462165,0.6172522,0.50873715,0.42068908,0.28123197,0.8043773,0.691985,0.6747698,0.7801356,0.62670964,0.63737565,0.79308534,0.43247938,0.27932262,0.7614953,0.4307053,0.53896797,0.9133236,0.45572743,0.027530443,0.87813044,0.5386666,0.047758695
straight,12.314354802936204,90.81028833628429,112.35564195984762,86.21296996821874,99.4797518271331,0.17122269,0.6003817,0.5093573,0.12847473,0.6167473,0.71477723,0.13547717,0.6044789,0.77332515,0.13671157,0.67877597,0.69797397,0.13751607,0.65168566,0.5334211,0.3210939,0.7192417,0.81081444,0.35132986,0.63156074,0.48216093,0.5413269,0.57680124,0.38825053,0.53307515,0.5711897,0.3525101,0.5113245,0.41551986,0.60048914,0.5096131,0.42128515,0.271745,0.8018491,0.6943012,0.7120262,0.77751875,0.62827605,0.6970085,0.7920064,0.43326816,0.3056714,0.76293147,0.43098387,0.56520337,0.9147061,0.4546178,0.031187788,0.8820963,0.52102375,0.052860033
straight,12.773886266231777,91.63947330152384,110.26345256423515,86.2490811783606,98.5347814950835,0.1731702,0.59865737,0.5348206,0.13130167,0.61586326,0.71585774,0.1376975,0.6041986,0.77829885,0.14083695,0.67841953,0.6773075,0.14477278,0.65132594,0.5206002,0.31846955,0.71890765,0.8001589,0.35183692,0.62807447,0.54206467,0.54426444,0.57825154,0.46925595,0.5341451,0.5697323,0.36174944,0.51057243,0.41494012,0.63813496,0.5097656,0.41939005,0.2685617,0.7986662,0.69133675,0.6884927,0.7750897,0.62816006,0.70353204,0.7912726,0.43413708,0.3228177,0.7622638,0.43191496,0.60789275,0.9299991,0.44250154,0.032736726,0.88016677,0.52194005,0.0467956
