class,neck_inclination,left_hip_angle,left_bicep_angle,right_hip_angle,right_bicep_angle,y1,x1,s1,y2,x2,s2,y3,x3,s3,y4,x4,s4,y5,x5,s5,y6,x6,s6,y7,x7,s7,y8,x8,s8,y9,x9,s9,y10,x10,s10,y11,x11,s11,y12,x12,s12,y13,x13,s13,y14,x14,s14,y15,x15,s15,y16,x16,s16,y17,x17,s17
hunched,15.277710482459542,62.32283289315756,69.22456146453702,66.2987952920487,109.93109237149883,0.3303042,0.5830007,0.41358125,0.3011063,0.58209056,0.41638356,0.28820834,0.5920701,0.44600287,0.28360623,0.60743284,0.51570433,0.26854146,0.6551944,0.30174863,0.4166393,0.6439688,0.67980474,0.4082771,0.7424511,0.42465025,0.7030059,0.5069898,0.79087204,0.63845503,0.6629035,0.25171456,0.62559325,0.43311295,0.36003706,0.6400751,0.5557713,0.103732474,0.90136683,0.66072303,0.32825527,0.87149286,0.7156979,0.27177897,0.8155517,0.48239303,0.20743537,0.80423135,0.5837277,0.13720162,0.9041638,0.48778406,0.05637054,0.90241283,0.57569516,0.13997087
hunched,15.445464151260852,68.1750960683754,71.29824104749875,68.38435940416625,102.73458968364346,0.33408487,0.5858915,0.4872387,0.30387062,0.58368534,0.49307266,0.299536,0.5941711,0.44711405,0.28300387,0.60785323,0.45985594,0.2688624,0.665386,0.29072475,0.4185172,0.64549965,0.6704403,0.4107867,0.74279785,0.44254014,0.7027249,0.50497407,0.765816,0.63854545,0.66188395,0.2737499,0.62830627,0.43058586,0.35789895,0.62257254,0.5283982,0.11084159,0.8990656,0.66358674,0.324794,0.8689102,0.71672696,0.25075835,0.8299495,0.47022748,0.2971682,0.80638003,0.58184916,0.16634318,0.9219121,0.47826514,0.09644074,0.8859748,0.5726759,0.17175938
hunched,11.15423201047528,69.03006499773174,71.81685048098865,67.1997382247084,102.85730769246108,0.32647583,0.58632517,0.469593,0.29466265,0.58753914,0.4221546,0.28669375,0.6001962,0.45016056,0.28286022,0.6165758,0.50108707,0.26795825,0.6673683,0.26110023,0.42601848,0.6449533,0.6132402,0.40732664,0.7405087,0.439871,0.7025591,0.5038306,0.7719312,0.6364663,0.66265905,0.22839145,0.6274185,0.4292623,0.45154545,0.62364733,0.53877616,0.10557173,0.90061855,0.66389555,0.35663033,0.8711013,0.7153375,0.24258204,0.83443516,0.4681893,0.28608924,0.8065642,0.5824694,0.14080948,0.9254713,0.47732827,0.06295495,0.87089413,0.5783225,0.15189195
hunched,10.993257637751682,64.80493046772936,70.83368573110033,67.98818111154883,99.9084349900106,0.31801885,0.5872803,0.40546903,0.28851658,0.587686,0.46597677,0.2829508,0.60081047,0.5258905,0.2807774,0.6170289,0.5087857,0.26615095,0.67932665,0.24096727,0.4278203,0.6457451,0.62390405,0.40564346,0.7401446,0.44333607,0.7039529,0.503242,0.72095,0.6377283,0.6651077,0.23535566,0.62560534,0.428797,0.38895386,0.6183865,0.5276309,0.10719623,0.91764843,0.68012583,0.35350132,0.8718951,0.7187975,0.25221035,0.8360739,0.46959725,0.3563916,0.80986404,0.58351743,0.15069082,0.9315535,0.5408852,0.053507756,0.8930148,0.5779667,0.14197198
hunched,11.931880752352432,65.37406281050984,74.08865336120492,69.93834355356003,93.61910117961449,0.31412697,0.5924219,0.37715924,0.2852829,0.59048,0.4906585,0.2796536,0.60353196,0.46761322,0.2785896,0.6168131,0.40737876,0.2631448,0.6812236,0.23820229,0.42739272,0.64842534,0.6299549,0.40155312,0.7415986,0.4630689,0.6988207,0.5060851,0.7040187,0.6369322,0.6652078,0.20090638,0.62851554,0.4322172,0.35329306,0.60134304,0.5262086,0.12696241,0.9158773,0.67878705,0.36744353,0.8670745,0.732269,0.23220775,0.83413684,0.46661338,0.21243376,0.80965304,0.5843026,0.12889235,0.92636293,0.5417533,0.054600216,0.877649,0.5781742,0.14578028
hunched,13.471079139208165,62.62476140541797,74.53496524233023,68.34232642001399,102.25690674366028,0.3173971,0.5913965,0.41493106,0.28757298,0.5910978,0.49907574,0.28159466,0.6031915,0.5403507,0.27906615,0.6192143,0.42933795,0.2641256,0.6796192,0.29234123,0.42299983,0.6538786,0.610955,0.39975366,0.7480716,0.53857255,0.7000654,0.506647,0.6868104,0.631323,0.66300523,0.20440078,0.6171877,0.41916257,0.31928262,0.61206377,0.52445596,0.1035916,0.91472954,0.6749339,0.37652355,0.8702521,0.714734,0.23818076,0.8201821,0.4714665,0.23328424,0.80677044,0.5828916,0.1234986,0.9214134,0.53978205,0.056926884,0.8749949,0.5758146,0.13394104
hunched,11.410118753528737,63.87490458958374,64.44903663083667,68.1808812386024,100.37482762729576,0.317861,0.59315175,0.43231168,0.28693902,0.5922031,0.5166638,0.28096315,0.60409915,0.5117049,0.2789867,0.61948484,0.44873807,0.2647014,0.66828555,0.33153105,0.42402744,0.64891285,0.6220802,0.40301156,0.7470837,0.45754772,0.7208315,0.49815556,0.7288761,0.6338061,0.6635741,0.21212682,0.6153029,0.41711798,0.26899514,0.61284155,0.53852385,0.07498254,0.9185564,0.6754994,0.39243558,0.8678143,0.7031024,0.17905763,0.8306556,0.468897,0.24956629,0.8069866,0.5848691,0.12763698,0.90748274,0.48383322,0.0550678,0.88462365,0.57168496,0.121435195
hunched,11.963817273482492,64.41136813756405,73.55019539798697,67.05683017670422,102.49507544001862,0.317415,0.59172213,0.4022193,0.28693286,0.5901374,0.5078578,0.2812933,0.6029169,0.53489935,0.27887148,0.61744124,0.42754456,0.26448932,0.6783405,0.29762828,0.42406148,0.6483709,0.6488658,0.4076193,0.74461246,0.6060675,0.7004584,0.5050332,0.65746117,0.63056237,0.6628491,0.21042445,0.6270314,0.4286266,0.36706406,0.6118233,0.5232468,0.09571165,0.91962636,0.67904323,0.41076842,0.8717956,0.72829264,0.19384368,0.8341104,0.46788168,0.2451182,0.8046504,0.5840153,0.11862089,0.92775977,0.5401348,0.08199867,0.8853147,0.58064955,0.14126272
hunched,13.581697351451838,64.2401899365852,75.74295249893869,74.59444252962271,95.61663098351973,0.3181033,0.5901573,0.3548462,0.28782472,0.58978754,0.507738,0.28152564,0.6016328,0.50506055,0.27914822,0.61972487,0.4275947,0.26283205,0.67788,0.27839506,0.42151368,0.65430397,0.66770136,0.40332824,0.7455248,0.5519457,0.6995423,0.5051163,0.6388926,0.63190305,0.6624412,0.19457993,0.6278242,0.4267802,0.42385778,0.5955759,0.52053326,0.12184442,0.92228866,0.68117607,0.4383668,0.88821524,0.72766906,0.20927422,0.8339252,0.4698142,0.21704951,0.8461804,0.594469,0.14090548,0.9290683,0.5425043,0.136459,0.888245,0.57790786,0.19578055
hunched,12.44580859886999,70.65572515227565,69.01886348749292,77.27244358996882,100.62531115472763,0.32228532,0.58516663,0.49876752,0.28949997,0.58602506,0.459342,0.28377122,0.5951292,0.47247812,0.28123528,0.6152007,0.44639856,0.2652945,0.665891,0.3342385,0.42597875,0.6473171,0.6657064,0.40244862,0.7377942,0.4945709,0.7178397,0.499678,0.7216696,0.6324787,0.6621018,0.20609401,0.62646484,0.4168647,0.30095825,0.614602,0.52792054,0.08559682,0.91610783,0.6814773,0.45300055,0.8837986,0.7152672,0.19059052,0.85291517,0.45138994,0.23678224,0.850398,0.5940652,0.13599324,0.92379844,0.48387465,0.079368286,0.9011326,0.56877095,0.16169652
