class,neck_inclination,left_hip_angle,left_bicep_angle,right_hip_angle,right_bicep_angle,y1,x1,s1,y2,x2,s2,y3,x3,s3,y4,x4,s4,y5,x5,s5,y6,x6,s6,y7,x7,s7,y8,x8,s8,y9,x9,s9,y10,x10,s10,y11,x11,s11,y12,x12,s12,y13,x13,s13,y14,x14,s14,y15,x15,s15,y16,x16,s16,y17,x17,s17
hunched_roundshoulder,47.55185353023709,81.41166481286729,73.1986933727306,96.58238922367934,112.09926762162769,0.38404948,0.5464985,0.29083917,0.35605645,0.54021716,0.30890027,0.35458255,0.5454705,0.31232738,0.30680984,0.5709869,0.46923783,0.29188383,0.59782124,0.40008464,0.3461228,0.61434096,0.46484083,0.39492458,0.6975879,0.34218875,0.66704035,0.50241095,0.497859,0.6512207,0.63656265,0.3135186,0.6273101,0.44778535,0.19103299,0.6703943,0.5113539,0.10641853,0.84009045,0.6910216,0.17860071,0.8112559,0.71992356,0.26027042,0.84100646,0.46815225,0.33288497,0.8411925,0.5439233,0.171098,0.91965336,0.49098498,0.12804979,0.9251945,0.5508295,0.19790775
hunched_roundshoulder,42.35678030902282,80.17166764734247,71.02265657486707,107.50429883863663,113.99557402203334,0.37991214,0.5457482,0.28420272,0.35243255,0.539611,0.37891597,0.35089856,0.544526,0.37665832,0.30509812,0.5700789,0.47048503,0.29047525,0.5971921,0.37789384,0.346719,0.6083199,0.45121133,0.3982861,0.70348597,0.33138642,0.6640881,0.50393105,0.6166005,0.6460212,0.6353203,0.31178102,0.6224352,0.44902435,0.1936548,0.6665504,0.49975368,0.0893876,0.8391089,0.69220847,0.19073436,0.8114669,0.72237897,0.25086483,0.8384768,0.46539173,0.24824755,0.8685145,0.56667745,0.18643466,0.9411687,0.5332642,0.10978782,0.9192622,0.57935125,0.18388394
hunched_roundshoulder,43.005435755641585,80.25151938892908,65.86410839289074,105.0742268149728,113.48880130637508,0.3813165,0.5505475,0.25783396,0.3529064,0.54240626,0.3285378,0.35043806,0.549435,0.30610147,0.30641434,0.569281,0.41701105,0.2909488,0.6004583,0.36002982,0.34772882,0.6081167,0.47559223,0.39803705,0.6993033,0.37321228,0.67311513,0.50305724,0.4438405,0.62959933,0.6365612,0.29533836,0.6244744,0.44909292,0.2068247,0.64988995,0.49795565,0.10081332,0.8331466,0.68802845,0.23117071,0.78986156,0.7203302,0.21383356,0.83162296,0.46980453,0.26827106,0.84376186,0.5558692,0.15240978,0.9413185,0.5312932,0.10215495,0.9172236,0.5729332,0.16418138
hunched_roundshoulder,39.77526634580553,80.64367834259104,65.55545897448704,108.56729483954405,111.77322171140796,0.38418195,0.54768157,0.28768298,0.3527256,0.5390645,0.36609203,0.35152197,0.5439488,0.3827287,0.30153632,0.5702131,0.46942922,0.29265,0.59729743,0.36765757,0.34570664,0.6072523,0.47357377,0.39617229,0.6956114,0.3414832,0.6719653,0.5010543,0.51005304,0.6506206,0.63186485,0.31354415,0.6229576,0.4475244,0.19415435,0.66862476,0.4988516,0.08534805,0.83944535,0.6897557,0.1934636,0.8129121,0.7333457,0.21252197,0.8399484,0.46825218,0.21128765,0.8860142,0.56713855,0.18085094,0.9433365,0.53195506,0.14337924,0.91793555,0.5916957,0.20597057
hunched_roundshoulder,38.769390027765716,88.76788783199771,70.63916194353837,113.60688161674625,105.9218532909714,0.38111967,0.548742,0.29758066,0.35331088,0.54050773,0.35152885,0.35111782,0.54486066,0.36938402,0.30571562,0.5720579,0.4941652,0.29447824,0.5907574,0.43506432,0.34847745,0.6066494,0.5307481,0.36680052,0.6650569,0.4137045,0.666671,0.5012445,0.42687905,0.63133913,0.63111174,0.28186336,0.624105,0.4461483,0.19325061,0.65143317,0.4983984,0.1258463,0.80905855,0.6832179,0.24975462,0.7686715,0.7176789,0.18626592,0.84001315,0.46858332,0.2768037,0.86588824,0.55631024,0.16467212,0.944591,0.53159595,0.1287884,0.9172971,0.5809502,0.18740053
hunched_roundshoulder,44.67639864301951,80.29099469460829,67.3269709885674,106.60347884938199,142.51847131676328,0.38351852,0.5439153,0.33986092,0.35371584,0.53852946,0.37948677,0.35228223,0.54307055,0.4074501,0.3103521,0.5678843,0.47967276,0.3029136,0.60534185,0.33996612,0.3482588,0.6056698,0.5365515,0.39592144,0.68701667,0.3026028,0.66995543,0.49743468,0.46089146,0.6499782,0.62041235,0.2947755,0.62182546,0.44258887,0.19233298,0.72340274,0.5258503,0.07445327,0.8374852,0.6934292,0.15623297,0.81473416,0.7118143,0.16791506,0.83928823,0.4692362,0.22256719,0.87072223,0.55792123,0.15763605,0.91331387,0.491139,0.09107633,0.94079983,0.55918366,0.15576613
hunched_roundshoulder,43.93062545311333,75.99520504536561,64.49509259641007,89.50543897933238,140.81772689267342,0.38616228,0.5477571,0.31945917,0.35593304,0.53920335,0.36373687,0.3537577,0.5444959,0.38705948,0.3091854,0.56651926,0.4453513,0.3015039,0.606693,0.36233252,0.35010764,0.6062569,0.5309294,0.41022807,0.69672143,0.30633265,0.67183656,0.50010264,0.44988242,0.65142,0.6229965,0.28617278,0.6177001,0.44358096,0.24313731,0.7066924,0.5404968,0.077971935,0.8785441,0.677538,0.19269861,0.8371214,0.70858824,0.18238814,0.85310906,0.44797736,0.24767154,0.840582,0.5279884,0.14514466,0.89676845,0.4853382,0.092434175,0.92200685,0.5486079,0.163083
hunched_roundshoulder,43.64674627502461,70.10829915067747,75.89415922678444,97.68784168046756,112.70543325008796,0.38423747,0.5448665,0.31561065,0.3562771,0.53796196,0.3338653,0.3535896,0.5435446,0.35885575,0.31238633,0.56675494,0.4116467,0.3026607,0.6081237,0.36612356,0.35366306,0.6064393,0.55637807,0.39607537,0.6840115,0.32057595,0.6627349,0.49929664,0.5512114,0.65231764,0.6202709,0.2915613,0.61194646,0.42175815,0.3120264,0.67125034,0.4970708,0.080894716,0.87785506,0.6733821,0.22141671,0.8357527,0.71660966,0.18812756,0.83282435,0.472158,0.16340435,0.86631644,0.5719257,0.1707121,0.9393693,0.53530544,0.10882806,0.91711086,0.5826897,0.18877462
hunched_roundshoulder,43.301919830726824,80.61019311281397,73.47959856272571,101.86051352745511,107.16418273872668,0.38453478,0.5458543,0.33973828,0.35714948,0.53957665,0.35302845,0.35378098,0.5464768,0.3819179,0.31237403,0.5676827,0.4462199,0.30092424,0.6066286,0.34660703,0.35232288,0.605628,0.5712707,0.39282486,0.666803,0.28172335,0.6642766,0.49647593,0.4415148,0.65753704,0.6164014,0.30779988,0.60912615,0.42002273,0.20085509,0.6705815,0.49981353,0.086095,0.8396889,0.6849844,0.1738902,0.81420183,0.70407224,0.18108758,0.83915615,0.469523,0.19218168,0.86117905,0.549597,0.16836447,0.9087055,0.49346495,0.08842635,0.9383867,0.5699849,0.16958122
hunched_roundshoulder,48.5486015519313,72.99471660335735,73.74083280791119,95.89967083500159,139.46063660648358,0.39663395,0.54669523,0.3512386,0.3630467,0.541504,0.3180627,0.36102766,0.54796356,0.34788182,0.31714088,0.5665733,0.39559925,0.30277392,0.607491,0.30099002,0.35510457,0.6099397,0.44211927,0.4079945,0.6606368,0.27206036,0.6727699,0.49481282,0.5034947,0.6696718,0.61632574,0.22884078,0.6091389,0.40780988,0.17118917,0.7555028,0.5134894,0.062915176,0.9007506,0.6753911,0.19460127,0.879035,0.6752025,0.16190673,0.86077595,0.45244503,0.19137514,0.89595246,0.5495967,0.10999856,0.8954207,0.4888514,0.07419909,0.92538303,0.5507985,0.13370463
