class,neck_inclination,left_hip_angle,left_bicep_angle,right_hip_angle,right_bicep_angle,y1,x1,s1,y2,x2,s2,y3,x3,s3,y4,x4,s4,y5,x5,s5,y6,x6,s6,y7,x7,s7,y8,x8,s8,y9,x9,s9,y10,x10,s10,y11,x11,s11,y12,x12,s12,y13,x13,s13,y14,x14,s14,y15,x15,s15,y16,x16,s16,y17,x17,s17
lieback,3.6315853726404157,110.73989605225506,108.32937521771933,131.2906238685028,134.0559315945435,0.37523207,0.71760523,0.13134736,0.37072468,0.72135323,0.15126613,0.36866802,0.72572404,0.111128785,0.3398142,0.76259214,0.068266526,0.36676773,0.7536527,0.057383284,0.47516847,0.75395674,0.06600585,0.498242,0.7683434,0.07536004,0.630375,0.65339726,0.058691178,0.5984348,0.6479532,0.08857193,0.5836046,0.4739728,0.05550812,0.5811296,0.4880241,0.07603109,0.68721056,0.7959494,0.039753005,0.6708466,0.76804847,0.060979467,0.799148,0.6164064,0.074459456,0.80279106,0.6172909,0.08410576,0.78569335,0.5240468,0.015030628,0.7608676,0.4925998,0.015631594
lieback,4.6321399681125515,106.289836562695,106.1391930980847,116.27934339367548,158.11837749426226,0.4605664,0.67176783,0.0610796,0.3693083,0.7128974,0.117465295,0.4499639,0.67270553,0.06297951,0.3716507,0.7313593,0.07770389,0.41214117,0.7355518,0.05099892,0.50098103,0.7418926,0.067471184,0.5135881,0.75507677,0.053302936,0.6329595,0.6634575,0.05410998,0.5891359,0.57485807,0.08418616,0.5838454,0.4746882,0.06017115,0.5906859,0.47181994,0.21013544,0.70973676,0.80854845,0.058288958,0.67474365,0.7862734,0.060238823,0.81635654,0.6504671,0.08303596,0.8046033,0.6154079,0.06558597,0.8175219,0.5824923,0.039436605,0.7925994,0.55875874,0.021528512
lieback,5.849565692469985,103.56893508417204,116.69456061123323,129.36459248482925,158.32122045223332,0.53334403,0.65305215,0.0666433,0.46809828,0.6638462,0.07130928,0.5012579,0.65401495,0.06921377,0.42805135,0.7170423,0.089804955,0.5006589,0.6945614,0.062221028,0.5268495,0.72721714,0.058580816,0.5177436,0.7206756,0.08661283,0.6249316,0.64419895,0.07720568,0.5847094,0.5793819,0.1461777,0.5840926,0.47475097,0.06722258,0.591764,0.4696884,0.20619647,0.66768813,0.7939655,0.04003332,0.6298489,0.7574557,0.058268953,0.7735056,0.66295016,0.10569602,0.79664725,0.6513101,0.10465969,0.7681159,0.6108948,0.040814847,0.738729,0.57925195,0.02320732
lieback,3.976749841691878,112.62860728230368,94.39463500892359,138.65933247343602,153.93693568438047,0.51540124,0.67635816,0.059426267,0.43549925,0.6942002,0.07728241,0.47031245,0.6694421,0.05856199,0.4275006,0.72703683,0.09856409,0.477566,0.7067806,0.07604523,0.5058988,0.7325154,0.08311784,0.51503724,0.7172403,0.08488101,0.6568702,0.6787598,0.060575582,0.588184,0.5780572,0.12451467,0.62188655,0.5500375,0.041537125,0.5913662,0.46830842,0.11065967,0.6509915,0.7926776,0.048966665,0.6303185,0.74416643,0.069189526,0.78097904,0.66336787,0.08751382,0.80232424,0.6519616,0.09381787,0.7674552,0.61103725,0.029909145,0.669691,0.54769367,0.018893544
lieback,1.9480590183008788,106.49354012450146,101.25439889804248,131.46503957914823,134.72807685038612,0.42486012,0.71430236,0.09216063,0.37614262,0.7148313,0.1482937,0.41375846,0.72410154,0.09771146,0.3688503,0.75012577,0.08118514,0.41060883,0.7447425,0.07227658,0.479451,0.75390726,0.07365177,0.49672505,0.7611093,0.07394779,0.6421317,0.6877274,0.058030345,0.6015859,0.6380967,0.08899361,0.6183717,0.5641405,0.046604306,0.5879139,0.4761723,0.09018541,0.69515824,0.807203,0.06392128,0.65608335,0.78080094,0.072707884,0.78012013,0.6622261,0.08628184,0.8017749,0.651946,0.08704513,0.7667295,0.5948854,0.022970898,0.7341708,0.55149317,0.01465472
lieback,10.407932322049652,114.87194193405935,99.63810976303984,150.13721948683232,167.57947357029389,0.47197813,0.6938309,0.08091018,0.41766497,0.7061959,0.16044883,0.41477805,0.71110284,0.10086091,0.42152223,0.72659117,0.08579972,0.42105457,0.72256607,0.100266434,0.50148165,0.74135584,0.0676334,0.51695967,0.7479045,0.07239465,0.6442401,0.68781644,0.063460544,0.5903407,0.58318114,0.09430774,0.6207871,0.56625175,0.04785172,0.6117818,0.47864962,0.058832023,0.69306624,0.7951301,0.060650393,0.65403277,0.74298835,0.07122306,0.8150735,0.65253204,0.09077426,0.7996969,0.6522611,0.057939954,0.8426862,0.5814606,0.029724285,0.7902349,0.5411777,0.01569213
lieback,13.781016216174681,104.03341526848959,107.01543806670563,125.23437709372251,169.24904501101182,0.47165713,0.69590896,0.09200033,0.4175765,0.70680356,0.16955899,0.41324437,0.71132255,0.11457392,0.42203254,0.72566676,0.066078894,0.41899252,0.7232292,0.1026288,0.52616084,0.7513444,0.05436731,0.53651834,0.755431,0.06767929,0.64396447,0.686863,0.057907674,0.58341825,0.57370967,0.12436081,0.61899364,0.566063,0.05647422,0.5898811,0.47432256,0.13501208,0.7394051,0.80406046,0.07957566,0.71963894,0.7620691,0.077192135,0.81809986,0.6555516,0.078656726,0.8020196,0.6539699,0.043237027,0.8468008,0.5818037,0.02716328,0.7902721,0.53870535,0.017782113
lieback,14.221656206178366,122.00664825802795,97.7519803444975,151.22711277269127,136.16588995465284,0.42947325,0.71080285,0.084607996,0.42439342,0.70738804,0.14606728,0.4217211,0.71166,0.11280865,0.4273731,0.7283724,0.0776413,0.4213712,0.73155135,0.09783685,0.48154053,0.7421749,0.06785794,0.4732417,0.7483379,0.058448397,0.62607783,0.7115905,0.05378495,0.6015327,0.6368678,0.10740251,0.6178662,0.5996541,0.056514714,0.61471105,0.4914721,0.05411251,0.65687037,0.78710806,0.05021405,0.61502016,0.7508971,0.07599723,0.7943055,0.65614307,0.09184918,0.79748917,0.65494114,0.098510556,0.78968805,0.59658617,0.028289668,0.7872566,0.5407612,0.017951194
lieback,3.4487049878046787,137.56505420612996,89.76112346844614,138.17690255197968,152.77916397854995,0.47522315,0.6456925,0.06586106,0.37999195,0.7059898,0.08118841,0.46416137,0.6452223,0.08347298,0.43053752,0.7156171,0.09789449,0.42679283,0.7231702,0.0650777,0.48662776,0.7122193,0.07950248,0.4899752,0.71223754,0.06697811,0.65295446,0.66938287,0.05864586,0.58139086,0.5772787,0.14243372,0.6224107,0.55280125,0.0468353,0.5943458,0.47008777,0.10303984,0.63472664,0.74524873,0.053573396,0.6375398,0.7450022,0.09599813,0.77642906,0.6638898,0.0811157,0.80162454,0.65290534,0.07766465,0.77214354,0.6075093,0.036495697,0.6499999,0.5597097,0.025671987
lieback,17.203902977794147,127.41162283506915,106.86240084816232,142.4027132707099,141.091098384014,0.48820716,0.68218344,0.062465187,0.38455164,0.709275,0.1305673,0.4629148,0.67223877,0.070152886,0.42979974,0.7259268,0.07929563,0.40721184,0.72484463,0.07520203,0.4841346,0.74284315,0.077960126,0.46951616,0.72441447,0.05080525,0.62151194,0.6879266,0.055538688,0.584113,0.5839221,0.10687075,0.6134995,0.59497386,0.05459528,0.5846419,0.481045,0.061148044,0.6401342,0.7757732,0.06406127,0.64098024,0.7465356,0.083016746,0.7568443,0.6754974,0.07407411,0.8005959,0.65346557,0.077287525,0.7665937,0.6085703,0.027057827,0.64548874,0.55974424,0.025889844
