class,neck_inclination,left_hip_angle,left_bicep_angle,right_hip_angle,right_bicep_angle,y1,x1,s1,y2,x2,s2,y3,x3,s3,y4,x4,s4,y5,x5,s5,y6,x6,s6,y7,x7,s7,y8,x8,s8,y9,x9,s9,y10,x10,s10,y11,x11,s11,y12,x12,s12,y13,x13,s13,y14,x14,s14,y15,x15,s15,y16,x16,s16,y17,x17,s17
hunched,57.308582956426505,56.03257700722349,85.26115578662079,59.89824551139726,65.9373485113608,0.35670185,0.51010126,0.49127582,0.32557636,0.5080659,0.44262826,0.32673764,0.514199,0.43572983,0.28049392,0.46516582,0.23337851,0.29749057,0.48969832,0.49653882,0.3664883,0.32962915,0.46556947,0.3734003,0.4366327,0.66067535,0.6489303,0.39504158,0.18053506,0.67802954,0.55493915,0.41962996,0.5974804,0.55549675,0.060688447,0.6279403,0.6045292,0.2406674,0.9107585,0.29962775,0.14092416,0.9490452,0.3402655,0.19562435,0.8296102,0.43568859,0.15683486,0.8892784,0.49928805,0.17231663,0.91249245,0.41978666,0.22396573,0.91843593,0.47324428,0.2171707
hunched,57.37508267346293,72.15136582577918,87.5436342525098,61.203815680677685,68.26167554629447,0.35569882,0.5115136,0.5004004,0.32384002,0.50978535,0.47797742,0.32377896,0.51571244,0.48726413,0.2817642,0.4673689,0.25003168,0.29638946,0.49108297,0.5180315,0.3744863,0.32085106,0.56094366,0.37686226,0.436585,0.7398482,0.6477214,0.39407203,0.15956905,0.6756329,0.5552918,0.41346842,0.5969871,0.5553938,0.09176567,0.62776387,0.6058993,0.24784037,0.92281926,0.30001828,0.21950588,0.94733965,0.32899618,0.24904516,0.87368596,0.4751341,0.19451253,0.8912742,0.50036687,0.19431324,0.9129025,0.42083493,0.23104729,0.91994095,0.47221255,0.22297283
hunched,56.70098762415654,71.22062960795989,79.48194831476542,59.41605464656187,65.30540574897287,0.35403,0.5109844,0.4744698,0.32470667,0.5090046,0.49083388,0.32446495,0.5156908,0.48826998,0.2827356,0.46419317,0.234073,0.2987183,0.49145117,0.5713977,0.3764095,0.31997436,0.55400217,0.37888926,0.43562087,0.7540427,0.6672218,0.39417407,0.1467604,0.67741054,0.55745906,0.43268725,0.592857,0.5548822,0.0711165,0.624527,0.606952,0.22556014,0.92575204,0.29991648,0.18558961,0.9525246,0.33985293,0.22991852,0.87142843,0.48112112,0.19719307,0.8896053,0.5028624,0.129588,0.91179335,0.44325754,0.22825035,0.9239793,0.47941494,0.18332939
hunched,56.17853133198643,72.02165370325147,78.643849952659,60.62868643180594,64.46976625496767,0.3544775,0.5104584,0.4510384,0.3253999,0.50813794,0.5100199,0.32537603,0.51485896,0.48859066,0.2829677,0.4543315,0.20533328,0.3008013,0.49069592,0.5336922,0.37308496,0.31833366,0.47878408,0.37917817,0.43549258,0.7638042,0.6678197,0.39481297,0.14494406,0.678506,0.55520064,0.4984286,0.58851385,0.558117,0.05279955,0.62003636,0.6091023,0.23291704,0.92333865,0.2986215,0.18396488,0.9473807,0.33152333,0.2713348,0.8712827,0.48104295,0.20873196,0.8889607,0.5011673,0.10955668,0.91341543,0.44204918,0.24107122,0.9232583,0.4782098,0.17851591
hunched,58.8065402136641,76.54214610353272,74.48332218201577,73.3719138002713,67.52928802197235,0.3536179,0.51137775,0.43826103,0.32503277,0.5094444,0.49997687,0.32587984,0.5163614,0.54687566,0.28572416,0.46319643,0.2338196,0.30195522,0.4933494,0.59525424,0.37259048,0.31798613,0.49401358,0.3792138,0.4378465,0.75848997,0.6729858,0.3929395,0.1235664,0.67326516,0.5546867,0.6249589,0.58190465,0.55374926,0.050182838,0.6119443,0.61787456,0.14933471,0.91189766,0.29858282,0.117341146,0.94921124,0.33992967,0.2680946,0.8750998,0.4811236,0.23304431,0.92032784,0.57928574,0.07487515,0.9123351,0.454427,0.26284894,0.92213213,0.47822887,0.1523213
hunched,59.36218321494198,75.77371567096043,75.28037110721041,74.88221205973369,77.50628877658254,0.35392618,0.5131051,0.4051902,0.3246128,0.511104,0.480434,0.32542932,0.5163946,0.5226122,0.28656727,0.47123048,0.24398433,0.2992676,0.49077088,0.6081932,0.37110394,0.32673576,0.3498055,0.37630635,0.4373068,0.7474089,0.6762569,0.3996032,0.075209305,0.66763204,0.56080383,0.67633706,0.5891769,0.562349,0.05156319,0.60758054,0.6450972,0.13116643,0.9265914,0.30776602,0.13309626,0.9503015,0.35039932,0.21713969,0.88718486,0.48895025,0.21814092,0.9216907,0.60119665,0.109056845,0.9070724,0.46536604,0.2638886,0.91818583,0.4786329,0.07736517
hunched,58.364862903082106,74.99861897375821,77.57119606426518,76.70167200178753,88.43296586358048,0.35117626,0.51514375,0.43627515,0.32187432,0.51232606,0.48901764,0.32227948,0.51741254,0.53595334,0.2840463,0.47195312,0.27512527,0.2980118,0.4919927,0.64445025,0.37257192,0.32653865,0.36345842,0.37405393,0.43709874,0.7337097,0.67979944,0.39191774,0.0702635,0.6605724,0.5570399,0.6479996,0.61230075,0.54042596,0.04996003,0.6157756,0.6563371,0.14172627,0.91415465,0.31010333,0.13630149,0.9360056,0.34927464,0.19677782,0.8736712,0.48185354,0.1898822,0.9164724,0.60222185,0.079402596,0.9029781,0.462781,0.24193297,0.91663635,0.47673747,0.058604218
hunched,57.59960786565571,69.81095369535012,145.81419787336884,74.35779696544928,98.37632793652837,0.35588998,0.5149407,0.39645875,0.32518336,0.5122644,0.47655,0.32551134,0.51693696,0.53979784,0.2844975,0.47169957,0.31032068,0.29706737,0.48879042,0.56871504,0.37565577,0.32638928,0.36086473,0.3779096,0.4377528,0.76113,0.62648827,0.45544264,0.06668968,0.66057146,0.560221,0.76488656,0.67882985,0.55149025,0.052808676,0.63108504,0.66988915,0.22625123,0.929357,0.3204728,0.1334907,0.9533665,0.34888747,0.23219876,0.8671457,0.49540606,0.24107859,0.9230807,0.6004962,0.093118176,0.90694416,0.463689,0.26049107,0.9178848,0.47772416,0.063460946
hunched,57.25965248008109,73.41373504855929,111.07139564115596,59.593769338576436,110.25593935614815,0.3537527,0.5153026,0.40810034,0.3241338,0.51206774,0.4980724,0.3243737,0.51718193,0.54189235,0.28595126,0.47215053,0.28170288,0.29758942,0.49158365,0.590335,0.3777238,0.32778096,0.383765,0.37323532,0.43853036,0.7219632,0.6503737,0.39959714,0.063826434,0.6605797,0.5595999,0.63541186,0.6674532,0.5539355,0.07048397,0.65548086,0.6722457,0.17282543,0.9233856,0.30998507,0.20803104,0.95014334,0.35141668,0.24319434,0.87525386,0.4932138,0.2795347,0.89018023,0.5011882,0.10961774,0.9083272,0.46257845,0.2620922,0.9195735,0.47603384,0.07996251
hunched,56.949819202165024,74.77869371267298,105.12836608205782,76.74958577881517,114.96950071369814,0.3569295,0.51243615,0.35646543,0.3234134,0.51032394,0.4557361,0.32493055,0.5152216,0.4853567,0.27927402,0.46756107,0.3493068,0.29765776,0.48934728,0.652198,0.36273357,0.33783185,0.23252107,0.3690973,0.44053158,0.48508748,0.6674706,0.4108606,0.10326028,0.66865325,0.56347024,0.77178305,0.6714889,0.5501995,0.066488035,0.6743026,0.68524665,0.20101738,0.9117538,0.30989525,0.20772792,0.9494462,0.34874246,0.23228776,0.8718929,0.49258572,0.21410763,0.9306474,0.600946,0.059656505,0.9070629,0.46668968,0.2566183,0.92041564,0.4858422,0.049532477
