class,neck_inclination,left_hip_angle,left_bicep_angle,right_hip_angle,right_bicep_angle,y1,x1,s1,y2,x2,s2,y3,x3,s3,y4,x4,s4,y5,x5,s5,y6,x6,s6,y7,x7,s7,y8,x8,s8,y9,x9,s9,y10,x10,s10,y11,x11,s11,y12,x12,s12,y13,x13,s13,y14,x14,s14,y15,x15,s15,y16,x16,s16,y17,x17,s17
hunched_roundshoulder,37.75462637997823,74.91715530752747,127.84304126133817,73.93506289733885,101.88475022635379,0.30239743,0.48629856,0.5813791,0.26496464,0.4819563,0.52351433,0.26620477,0.4871728,0.4769771,0.21773612,0.42818457,0.42757046,0.24067262,0.45696387,0.6461198,0.36025044,0.31703818,0.40948743,0.35514757,0.41410318,0.8036211,0.64034104,0.40579286,0.16273156,0.64649844,0.5434362,0.61003256,0.68730706,0.5330263,0.0428754,0.6241772,0.64798194,0.124927916,0.93757105,0.30103245,0.3618061,0.9684875,0.32604635,0.4666278,0.8931067,0.48631427,0.30581623,0.9320673,0.58868647,0.17367697,0.9265516,0.47297236,0.29207322,0.93807286,0.54504865,0.054504294
hunched_roundshoulder,41.11707495313435,75.31581978900277,155.7324658313061,73.58046679638846,110.1061669680281,0.30402148,0.48807102,0.47858852,0.2666813,0.48301965,0.5061011,0.26795587,0.487988,0.47680023,0.22833405,0.4360498,0.37948963,0.24063973,0.4559501,0.6035169,0.36405742,0.3166861,0.36424538,0.35504532,0.4096806,0.83699846,0.59759307,0.44696185,0.10866394,0.6388328,0.5424153,0.68891495,0.6711659,0.5461076,0.043628328,0.6284743,0.6617602,0.17468783,0.9454117,0.31523743,0.24361467,0.97469395,0.32734036,0.3697996,0.9005003,0.48838064,0.21040304,0.93219995,0.6002501,0.1424991,0.92581,0.4799727,0.3053732,0.9387394,0.5800486,0.049669012
hunched_roundshoulder,40.58256549052378,72.42733278900438,132.21959425505057,75.53514399344105,119.84150196942491,0.3068341,0.48665413,0.4586874,0.27050754,0.48257422,0.4674214,0.27216232,0.48760042,0.5263103,0.23334269,0.4362774,0.44151983,0.24700898,0.45660168,0.681295,0.3583694,0.3283833,0.30496517,0.35274756,0.4100437,0.80001193,0.59715974,0.45811698,0.10660904,0.6289715,0.53953856,0.6216312,0.64136654,0.6393976,0.052377332,0.6395818,0.66793174,0.1518118,0.94356155,0.3135545,0.2128893,0.9589913,0.32312307,0.20396051,0.89305156,0.4883089,0.28556705,0.9299531,0.5859105,0.10381533,0.929129,0.47198138,0.26431033,0.9294113,0.5457887,0.03501858
hunched_roundshoulder,42.28094873754757,73.3523931196234,135.34448776260143,65.83039457914757,126.86046390771847,0.30889615,0.490414,0.3980744,0.27456346,0.4861369,0.45590445,0.27428114,0.48994383,0.52773106,0.23214743,0.43788806,0.41782364,0.24570619,0.45645174,0.7082237,0.36318028,0.3178171,0.32632467,0.3504797,0.4145027,0.76247424,0.60642326,0.43135005,0.07213869,0.626124,0.5443867,0.5686321,0.65904444,0.57342213,0.06421021,0.65370566,0.6783907,0.25395194,0.9431116,0.31240723,0.25010318,0.9570851,0.32186586,0.1989031,0.8924109,0.48791295,0.21710977,0.8787962,0.6044182,0.060092755,0.92376035,0.4730518,0.2586143,0.9195547,0.5924252,0.033655528
hunched_roundshoulder,41.10996834593698,74.15324646018573,120.82522679482517,57.232723206664765,131.23973531672053,0.31907642,0.49105904,0.51079434,0.28469032,0.48808178,0.5423442,0.28309852,0.49073282,0.50784975,0.23750798,0.4388917,0.48035902,0.25119516,0.45581776,0.7625074,0.360771,0.3305137,0.32902795,0.34808525,0.41164747,0.6846446,0.62142456,0.43725896,0.07950101,0.62506163,0.5463211,0.57120496,0.65142906,0.6367212,0.04518423,0.66124046,0.6784832,0.13130474,0.9394669,0.3153406,0.24974,0.95133924,0.3147374,0.23256534,0.89528817,0.48809573,0.21741803,0.840465,0.56802505,0.03930358,0.9273405,0.46608362,0.22466491,0.9225173,0.56201977,0.026929215
hunched_roundshoulder,39.74065329469602,72.4496743377795,139.64140075059146,64.7812570320661,133.59380099530043,0.31433353,0.492874,0.45530188,0.28299513,0.48967028,0.59485334,0.28265485,0.49318495,0.54527533,0.23462854,0.43625766,0.48824185,0.25391605,0.45786706,0.71728736,0.35370383,0.33652964,0.44445384,0.34540445,0.41350862,0.75366575,0.5936924,0.4566423,0.1141737,0.62371135,0.54550326,0.5386982,0.65614104,0.6033792,0.055620976,0.6669085,0.6767346,0.21290949,0.940717,0.3161089,0.22086768,0.9542605,0.3128845,0.20075217,0.8916484,0.4923521,0.2711524,0.9029307,0.49386507,0.06391226,0.9249546,0.4656774,0.26843876,0.9242692,0.5433421,0.030381342
hunched_roundshoulder,46.75937251950027,75.36234020743973,115.46018150367185,71.11295167569463,137.70804740412765,0.3328318,0.49874997,0.45075348,0.30124354,0.4946433,0.51828325,0.2967362,0.4993569,0.4787921,0.25238717,0.44928333,0.4588255,0.26395255,0.46612978,0.7115513,0.35933393,0.3345889,0.33016965,0.34796458,0.41904256,0.6167592,0.67666996,0.40184996,0.082973495,0.6213867,0.54528826,0.5610013,0.7121725,0.5498068,0.04597137,0.6737901,0.66919893,0.29039526,0.9349675,0.2998385,0.21565342,0.9343989,0.30028805,0.1771491,0.8971847,0.49095374,0.25978246,0.9089167,0.49544165,0.056324985,0.9294877,0.46199295,0.21932663,0.92987823,0.47713143,0.03671006
hunched_roundshoulder,49.185855890060644,82.01900159139913,167.84454956951643,74.63824453277,136.4339848974885,0.33876473,0.49660143,0.435614,0.30756834,0.49537727,0.44546404,0.30526868,0.50016356,0.35956144,0.2547843,0.4505014,0.43052214,0.26933998,0.4651383,0.6976194,0.3531191,0.33560556,0.41654658,0.34596014,0.41448608,0.60934246,0.6283579,0.510165,0.07430708,0.625556,0.54645234,0.60644186,0.70522684,0.5858062,0.03700176,0.672691,0.6681804,0.2686885,0.9072665,0.30753827,0.20170403,0.91764235,0.3115581,0.20446093,0.8912407,0.48776174,0.2134474,0.901144,0.4944233,0.0541009,0.9243676,0.47214913,0.19247656,0.9247803,0.4796486,0.03475204
hunched_roundshoulder,50.837164851547854,82.49098815361452,170.28927917913907,75.0171151260306,137.08852192565084,0.3483176,0.50110394,0.42801246,0.31623435,0.5017879,0.4844574,0.313597,0.50476825,0.5202408,0.27059197,0.4603393,0.40972462,0.27489883,0.4682736,0.7522299,0.3525698,0.35873958,0.23982899,0.34100127,0.42123055,0.5260319,0.630518,0.5088691,0.12707195,0.62519103,0.5485193,0.5980895,0.72919,0.5861982,0.03338261,0.6756098,0.66752434,0.25434074,0.8970699,0.2962458,0.15463755,0.91626585,0.30344164,0.1610494,0.8938567,0.48766732,0.17890573,0.90494204,0.49341708,0.029105539,0.9297189,0.4480935,0.16605495,0.9322993,0.4794459,0.034218695
hunched_roundshoulder,51.34358260329355,68.5264546596592,163.39301475909562,60.358286072754304,134.8578641049947,0.3467468,0.5058469,0.5517423,0.31425488,0.5039653,0.56026644,0.31266415,0.5076053,0.55227876,0.26560056,0.464065,0.43294758,0.273684,0.47058907,0.7021685,0.3351869,0.37623736,0.32730782,0.33088565,0.423205,0.7501668,0.6333651,0.50389814,0.091186285,0.62739277,0.55012316,0.54545456,0.73202837,0.58605605,0.054883946,0.6741254,0.6676478,0.2164161,0.9172752,0.31821576,0.07616719,0.9245651,0.3162289,0.10394775,0.8701174,0.48507673,0.23844992,0.83431816,0.57211256,0.038007032,0.9378884,0.4480377,0.20099717,0.9329218,0.48095772,0.038656015
hunched_roundshoulder,54.901531263999026,81.85944837238765,177.50546965990594,64.71171204593703,134.98423626501827,0.3528973,0.5077397,0.57031536,0.32270378,0.5045636,0.5871987,0.32039478,0.50779474,0.5105337,0.27520636,0.46720695,0.39731902,0.27672124,0.47298107,0.6133412,0.34706175,0.36387286,0.2827726,0.33531135,0.42407113,0.5661995,0.6371496,0.5057625,0.17993005,0.6284679,0.55009145,0.5128472,0.7525823,0.5685914,0.04167393,0.67632866,0.670222,0.20030114,0.8783835,0.31129798,0.15439355,0.9015261,0.31447715,0.16438508,0.87067693,0.48855525,0.17213692,0.83165026,0.58793634,0.05066873,0.9265481,0.46630222,0.20910762,0.9289531,0.54754317,0.027634814
hunched_roundshoulder,55.02842723215039,80.23216946301044,177.82113368258726,59.82894641207831,136.57837509654257,0.3501546,0.5118019,0.5273121,0.3210745,0.5092277,0.5896512,0.31546032,0.51164037,0.50330514,0.27652234,0.46890393,0.41930205,0.28048748,0.4760135,0.61490977,0.34966442,0.36321828,0.31907094,0.3348872,0.42630988,0.60672754,0.6390547,0.50663394,0.1137222,0.62730676,0.55075246,0.48067716,0.75242853,0.5682957,0.04630087,0.6778294,0.66680455,0.22053991,0.8787541,0.300421,0.11745353,0.9037428,0.3142972,0.14090702,0.8687236,0.4918718,0.17176305,0.81428665,0.5736331,0.061218753,0.9245557,0.45792922,0.21316336,0.9281046,0.5466413,0.026270485
