class,neck_inclination,left_hip_angle,left_bicep_angle,right_hip_angle,right_bicep_angle,y1,x1,s1,y2,x2,s2,y3,x3,s3,y4,x4,s4,y5,x5,s5,y6,x6,s6,y7,x7,s7,y8,x8,s8,y9,x9,s9,y10,x10,s10,y11,x11,s11,y12,x12,s12,y13,x13,s13,y14,x14,s14,y15,x15,s15,y16,x16,s16,y17,x17,s17
lieback,12.470377257377212,85.76893254008705,90.2985569032886,75.6792200037933,150.17887999830376,0.2500924,0.352592,0.47605127,0.19875681,0.33321506,0.68569994,0.19822389,0.33304882,0.635885,0.22367512,0.2608599,0.5560129,0.2286096,0.27061155,0.6427454,0.42102632,0.21698137,0.32122478,0.43705902,0.2650998,0.5390506,0.64516807,0.36242217,0.06507153,0.60969245,0.48536545,0.2827049,0.55228126,0.5072187,0.06965409,0.62329257,0.57897395,0.35869747,0.93246555,0.28967428,0.27869016,0.9553621,0.30125913,0.28614637,0.8928902,0.4708707,0.09205232,0.8961643,0.48013577,0.16861476,0.9142792,0.47948256,0.15787041,0.9135364,0.47868982,0.11043633
lieback,12.250814622793994,69.07711134073479,91.66627496382696,76.75907291157232,152.05123975547934,0.25297886,0.35332048,0.41065115,0.19961852,0.33320346,0.70500875,0.19881335,0.33555382,0.6591314,0.21781401,0.26216194,0.55967134,0.22506237,0.27559996,0.61510795,0.41815886,0.21842697,0.35503116,0.436472,0.264542,0.5243443,0.63966715,0.36339465,0.08149374,0.60608464,0.48386908,0.26891047,0.55972826,0.49365544,0.12077989,0.62118995,0.5716192,0.23043033,0.93239754,0.29762822,0.25096396,0.95700395,0.31137574,0.22438551,0.86984324,0.4073929,0.080032215,0.8999517,0.48305973,0.18949924,0.9151005,0.47981426,0.18364376,0.913063,0.4781653,0.11928297
lieback,11.72511628146369,69.47506548253641,93.68723914677453,77.36798427607896,147.042019999327,0.24473071,0.35261858,0.5015979,0.19619781,0.33924496,0.6848614,0.19438699,0.33383852,0.6085987,0.21836951,0.26125216,0.55005795,0.22623655,0.2716296,0.66672873,0.4308787,0.216911,0.26077798,0.4495594,0.266246,0.54209983,0.6413683,0.36306033,0.08019096,0.61203897,0.48239538,0.2815213,0.56269634,0.49354753,0.11819968,0.61812186,0.56995106,0.20824333,0.9331902,0.30086762,0.28633735,0.9574384,0.3149415,0.1961574,0.8725008,0.40592694,0.069466546,0.9028754,0.4817904,0.14701636,0.91601384,0.48161244,0.14714472,0.9144343,0.48129517,0.1042608
lieback,16.87733822345456,69.25702535366209,80.02245533473437,75.84495454400366,149.68401913255798,0.24163811,0.3523784,0.55873406,0.19310048,0.33887833,0.67809457,0.19134963,0.33449233,0.55510515,0.21454829,0.2618761,0.5508156,0.22346029,0.27349,0.67028517,0.43375617,0.19500425,0.5496182,0.4480651,0.27073607,0.5792987,0.69692177,0.34071302,0.06104461,0.6119211,0.48094988,0.21676266,0.57052934,0.49707437,0.08201895,0.62370986,0.5690743,0.280465,0.9335588,0.29980463,0.31307104,0.95791286,0.31852743,0.23300518,0.8652638,0.4066546,0.09153153,0.89924765,0.48410007,0.16653518,0.9175991,0.4815541,0.16061407,0.917622,0.48223457,0.12709822
lieback,17.15972587259662,71.17185522709683,79.00758484671886,76.7691679311656,156.30941191049706,0.2453905,0.3528752,0.52812153,0.19543003,0.33385172,0.69372106,0.19433753,0.3351847,0.61470944,0.2204805,0.26195973,0.5943783,0.22525004,0.27171677,0.71832323,0.4319454,0.19630308,0.52088517,0.44402796,0.27036482,0.5643291,0.6968955,0.33813033,0.058512907,0.60908175,0.48255593,0.26356438,0.5705824,0.493268,0.0885876,0.6306347,0.5678129,0.24663332,0.93291044,0.29989383,0.35665962,0.95466983,0.32167935,0.28601438,0.8711033,0.40477452,0.117940165,0.8985959,0.48481426,0.24654528,0.9200666,0.48172036,0.18833764,0.9155092,0.48200414,0.1442078
lieback,16.569307753931493,71.60546295636591,111.32346377247528,77.35436487887395,153.64479119073502,0.24042022,0.35053992,0.53280973,0.18881497,0.33227667,0.6718692,0.18405485,0.33354056,0.56327075,0.21257958,0.2601225,0.55507123,0.22266005,0.27221775,0.694659,0.4358698,0.1933221,0.3491895,0.4469684,0.26926613,0.59331423,0.6354903,0.3610041,0.067209676,0.61094445,0.47824702,0.25242972,0.58350635,0.5145229,0.084472656,0.62964946,0.56806356,0.2763047,0.93377894,0.29969427,0.33021796,0.95500195,0.3317042,0.28179693,0.87272686,0.40353155,0.086202204,0.9006936,0.48378092,0.21683913,0.92451656,0.4815085,0.1617587,0.9178382,0.48221985,0.13173285
lieback,16.384640558246513,71.8914976184277,104.52148328373468,77.53999576013656,153.65890236156025,0.2418624,0.34705898,0.46002814,0.19027498,0.3307428,0.6805875,0.19095618,0.33110657,0.580227,0.2141603,0.2560567,0.50621,0.22524983,0.26993152,0.68156236,0.4291879,0.19248645,0.3785659,0.44633317,0.27101687,0.658746,0.63138866,0.36074498,0.06817311,0.61116207,0.4825289,0.22106253,0.5687461,0.49360487,0.094653554,0.6285746,0.5674481,0.24678236,0.9332521,0.30001232,0.3360125,0.9553852,0.33136997,0.2854558,0.8714918,0.4063395,0.06582819,0.9023107,0.48359585,0.14727247,0.9199858,0.4820221,0.1630006,0.9204669,0.48287508,0.13176033
lieback,16.043556911023224,71.43562347246439,91.6985407774661,71.92615399827636,150.83914072499053,0.25179318,0.34432298,0.35394123,0.19717741,0.32827577,0.685829,0.19713657,0.3314291,0.6262806,0.21495521,0.25516078,0.43912104,0.2251592,0.2744868,0.55692405,0.435174,0.19148628,0.41552123,0.45894405,0.28026053,0.5544284,0.644521,0.33127496,0.06383906,0.6128542,0.4809117,0.16622338,0.5528029,0.47786126,0.06607561,0.62579215,0.56928223,0.39843377,0.9299339,0.2860045,0.23922206,0.95359796,0.32594764,0.2686329,0.862771,0.405298,0.052393075,0.8880353,0.47781157,0.094453864,0.91656196,0.47945896,0.1358127,0.91741705,0.48030922,0.08383461
lieback,15.217416544743832,49.25390795412014,90.87478581261672,74.16907200849265,151.8009952846684,0.24967039,0.34792712,0.39596978,0.19280875,0.32949024,0.65726215,0.19305985,0.33090004,0.5767934,0.21070549,0.25557804,0.4444633,0.22110729,0.27151617,0.5733128,0.42843673,0.19602832,0.3838368,0.44582617,0.26736954,0.5286416,0.64438164,0.33245057,0.06777155,0.6089298,0.48079154,0.17453302,0.55462444,0.4794521,0.084191784,0.62425,0.5754945,0.2659055,0.9299264,0.28615972,0.24837257,0.95300376,0.3393134,0.28118545,0.78200024,0.40622637,0.04193111,0.8892783,0.48308727,0.07945566,0.916959,0.4816887,0.14071216,0.91778374,0.4824841,0.089610785
lieback,12.596145003832858,70.17059047590797,80.9731357049301,73.53960860477345,149.72243211645014,0.24956982,0.3412486,0.35234642,0.19462427,0.32548138,0.55069774,0.19472459,0.32906842,0.55512923,0.20779753,0.24279447,0.31933028,0.22184215,0.2751214,0.5116693,0.42859623,0.19319119,0.43197197,0.44959223,0.27728418,0.5885972,0.6662679,0.32590762,0.06256691,0.6123397,0.4834825,0.3089775,0.5490062,0.4748887,0.061870523,0.6261406,0.58161134,0.21188702,0.9195785,0.2985881,0.26495042,0.950216,0.3507844,0.34379923,0.85402894,0.40371385,0.06671314,0.8897331,0.48160505,0.1301005,0.91041654,0.47920844,0.15686141,0.9129262,0.48190618,0.07548947
