class,neck_inclination,left_hip_angle,left_bicep_angle,right_hip_angle,right_bicep_angle,y1,x1,s1,y2,x2,s2,y3,x3,s3,y4,x4,s4,y5,x5,s5,y6,x6,s6,y7,x7,s7,y8,x8,s8,y9,x9,s9,y10,x10,s10,y11,x11,s11,y12,x12,s12,y13,x13,s13,y14,x14,s14,y15,x15,s15,y16,x16,s16,y17,x17,s17
straight,25.855408663117313,68.1640926336225,92.30644810416476,74.6644587988045,62.71323967592632,0.2120308,0.4172237,0.26313242,0.15705541,0.40955883,0.47311825,0.16031584,0.41405612,0.39545628,0.13898855,0.35080892,0.53458756,0.15090019,0.3691617,0.58876425,0.34411728,0.25080714,0.70193505,0.3527039,0.35694778,0.7827339,0.6216246,0.31088257,0.19902094,0.6919075,0.48073298,0.57717896,0.6030952,0.41695744,0.12594157,0.61680174,0.5499531,0.609867,0.9253432,0.2191967,0.30108938,0.9627222,0.3046547,0.6795762,0.86898804,0.38547203,0.16339026,0.9236523,0.51678103,0.1579662,0.9407484,0.35199684,0.29452136,0.94137216,0.42182836,0.10411437
straight,26.78130480441689,72.02681732626401,90.96191170566941,77.38021031469327,62.09024446135111,0.21437174,0.41452143,0.27257574,0.16058671,0.40538082,0.45286813,0.16469902,0.40840498,0.38993555,0.14123634,0.34755388,0.4909074,0.15674284,0.36955702,0.5040718,0.35297996,0.240036,0.6668595,0.35138306,0.36075404,0.7785306,0.6286931,0.2968883,0.18212594,0.690514,0.47935954,0.59905916,0.608436,0.40420657,0.12686695,0.6211811,0.5435936,0.5353991,0.9095994,0.20858912,0.38897175,0.95366,0.30614677,0.6470149,0.8711722,0.35465336,0.12327597,0.92502874,0.5254248,0.11861538,0.94159305,0.3416023,0.23261422,0.9458376,0.4187498,0.076699
straight,27.423303491220167,71.25174794981847,91.8006521055578,76.51819946030265,63.16199676477449,0.21065222,0.4175777,0.2343289,0.15995291,0.4075415,0.39275903,0.16458142,0.41066512,0.32235375,0.14057691,0.35044453,0.44934607,0.15733814,0.37262323,0.4903769,0.352845,0.23963562,0.670755,0.3519507,0.360861,0.7893543,0.6281644,0.29710528,0.16550519,0.6936115,0.48110482,0.61164427,0.60945237,0.4033365,0.1328795,0.6164918,0.5549903,0.54811275,0.9136064,0.20982133,0.2594103,0.96048826,0.3050994,0.7190329,0.86839646,0.37060863,0.1557148,0.92875767,0.52404135,0.16422963,0.9392144,0.3537307,0.29482555,0.94612765,0.41993818,0.0957585
straight,26.903218691831132,67.3063779682198,96.96038191026054,76.37027805344768,64.3036219034071,0.2077578,0.4224293,0.18263601,0.1511169,0.4064785,0.3711062,0.15616484,0.41249862,0.3109137,0.13628575,0.34864715,0.42127585,0.1511428,0.36598727,0.49578837,0.35003573,0.23953477,0.6884148,0.35160598,0.35599694,0.8208511,0.6351631,0.30725878,0.17045207,0.6934998,0.48243186,0.5348063,0.62307525,0.41500717,0.102254875,0.6200989,0.5533362,0.44376788,0.9247312,0.20847777,0.26349702,0.9643222,0.30477238,0.62134606,0.86591756,0.37364274,0.16484356,0.93013346,0.5243313,0.20401785,0.94144434,0.3537998,0.34812942,0.9458534,0.42219883,0.06081302
straight,24.64764921897235,68.2364789784463,97.10918441151843,76.4659143622062,65.6232759227561,0.20136952,0.41603103,0.16991049,0.14910965,0.4030581,0.41027123,0.1527009,0.4064293,0.3424097,0.1307716,0.34002465,0.3756245,0.1485731,0.36348152,0.53366864,0.34528464,0.24101679,0.6827261,0.34650797,0.35022625,0.7628402,0.6351273,0.2980556,0.18056068,0.69023967,0.47992492,0.50885594,0.6267267,0.41747364,0.10804449,0.62551445,0.54453844,0.42801505,0.9217942,0.20894258,0.29314294,0.9608767,0.29172617,0.6240922,0.8660259,0.3748543,0.12984222,0.9274684,0.52661806,0.20017764,0.93782187,0.35684547,0.30400354,0.94010043,0.4312236,0.05451567
straight,25.448786806069123,73.0758319299404,86.5432915768589,76.35281325973996,68.35884181742708,0.20988822,0.41463086,0.2352297,0.1582813,0.40256783,0.39744964,0.16280773,0.40618974,0.36739585,0.13578874,0.34209672,0.50637215,0.15267916,0.36325827,0.56004906,0.35069722,0.23921815,0.67026424,0.3490417,0.35570905,0.81667244,0.63795924,0.29614002,0.16793844,0.69055605,0.47829843,0.6203792,0.606425,0.41664252,0.10478495,0.62170714,0.5564274,0.5132479,0.9105798,0.19789214,0.28255337,0.95580566,0.27886337,0.6827905,0.87026346,0.37675038,0.14692771,0.9281322,0.52444816,0.15766615,0.93985033,0.34256062,0.28910094,0.9461436,0.43391967,0.040136527
straight,25.493207994581248,57.17528473083954,79.11513300538988,76.1654884915632,66.3525010694925,0.21051511,0.41588068,0.25072208,0.15955654,0.40413013,0.44853112,0.16449113,0.40768215,0.38485998,0.13601524,0.3431841,0.44888926,0.15531194,0.36869714,0.5128518,0.3519107,0.23962617,0.64334095,0.35182863,0.3563021,0.790232,0.6555362,0.29552713,0.18434654,0.6932355,0.47787076,0.5781614,0.60812575,0.41702294,0.1127248,0.62008315,0.5556412,0.5619852,0.9239476,0.20624328,0.30442137,0.9609792,0.29024017,0.7040379,0.8476243,0.34122753,0.15660061,0.9293102,0.5261742,0.21914583,0.93723077,0.34280503,0.30529568,0.9433524,0.43357015,0.047377415
straight,26.94655409913556,70.17848617458851,90.43243544121002,76.71201290819093,66.9532025466168,0.21744275,0.41426158,0.19612427,0.1651595,0.40192294,0.37390327,0.16982687,0.40615612,0.30346963,0.14276432,0.34097153,0.39362392,0.15785646,0.3687286,0.5247744,0.35836297,0.2307088,0.6977185,0.34948206,0.35651654,0.80517983,0.6362215,0.2990015,0.19238757,0.69167274,0.47785664,0.5911947,0.60813385,0.41711935,0.13452655,0.61964357,0.55626684,0.5804676,0.92410517,0.20773485,0.32052714,0.9601128,0.29201174,0.6921857,0.8673582,0.38775602,0.1666058,0.930249,0.5265045,0.246269,0.9365128,0.35365832,0.32122996,0.9405462,0.43205556,0.054908723
straight,27.48499745802716,55.167028114842786,86.9372910391311,77.48409749196917,66.8846411077282,0.21704659,0.41658545,0.2553325,0.1626893,0.40427238,0.42207965,0.16899228,0.41109005,0.36955002,0.14484884,0.3469558,0.42972797,0.15755972,0.36429957,0.49076107,0.35095832,0.2390778,0.65568656,0.3463955,0.3559216,0.80581546,0.64077485,0.29946852,0.20541257,0.69283974,0.47790003,0.61850554,0.60949135,0.41759363,0.1186327,0.62094057,0.55633163,0.48220098,0.9259232,0.21844545,0.3169997,0.9617487,0.3049927,0.6755613,0.8480259,0.33942124,0.15242065,0.93126386,0.5279811,0.2221042,0.9372842,0.34582055,0.30872053,0.94305027,0.43245444,0.05422794
straight,26.057857531133493,69.77200795670271,81.63015892195031,75.34872081023472,65.5867890522099,0.20783663,0.41469786,0.24836168,0.15807113,0.40301725,0.37354302,0.16281116,0.40736374,0.33280292,0.13626489,0.33983803,0.46309704,0.15440997,0.36918652,0.5314264,0.35994416,0.22980778,0.6622874,0.35072765,0.35727248,0.76486516,0.65508497,0.2979379,0.19108976,0.69149774,0.47843805,0.5578608,0.6123278,0.40721938,0.12657315,0.6180594,0.55452085,0.46000484,0.925471,0.22021325,0.33521137,0.96352303,0.30268273,0.66866827,0.8669142,0.38783756,0.172536,0.9255985,0.527847,0.17615822,0.9390137,0.3548549,0.33839116,0.93852895,0.52535146,0.03305515
