class,neck_inclination,left_hip_angle,left_bicep_angle,right_hip_angle,right_bicep_angle,y1,x1,s1,y2,x2,s2,y3,x3,s3,y4,x4,s4,y5,x5,s5,y6,x6,s6,y7,x7,s7,y8,x8,s8,y9,x9,s9,y10,x10,s10,y11,x11,s11,y12,x12,s12,y13,x13,s13,y14,x14,s14,y15,x15,s15,y16,x16,s16,y17,x17,s17
hunched,36.468848553822724,92.30584385979427,76.48904821292503,79.00165624251929,65.48613938460058,0.23522094,0.4807186,0.6034375,0.19479737,0.49179956,0.80794,0.199494,0.48531744,0.71865165,0.1787288,0.5534856,0.69560885,0.18634813,0.5428933,0.5127653,0.31942526,0.65819746,0.75081086,0.3605122,0.5506108,0.5633401,0.6140623,0.59178454,0.6970365,0.59627146,0.537914,0.3595034,0.5307901,0.4226534,0.5235596,0.5395953,0.42948657,0.2087185,0.80732703,0.6552994,0.6446602,0.78388,0.5925881,0.56598103,0.81523246,0.42494375,0.3234904,0.7678031,0.42045742,0.58860624,0.8743458,0.5165557,0.043635245,0.83176017,0.5447034,0.072994664
hunched,37.25254672006247,88.05749670452654,76.67189237700627,80.71622496948925,68.3799061208274,0.23487958,0.47930375,0.58215564,0.19409746,0.4896255,0.7845908,0.19891714,0.4845693,0.74102986,0.17909148,0.5526571,0.7087099,0.18794543,0.5432484,0.5272649,0.31617475,0.65763915,0.71282977,0.35119647,0.5524595,0.60030913,0.61372924,0.592174,0.6679841,0.591089,0.53639567,0.35631952,0.5314784,0.4215446,0.5162003,0.5399827,0.42901298,0.21646088,0.8073647,0.65469795,0.51802623,0.78171384,0.5932095,0.5610713,0.7981736,0.42441455,0.36158362,0.76995695,0.41971025,0.5925037,0.8708019,0.51542443,0.04095042,0.8272666,0.53180903,0.07295888
hunched,36.68797825308795,87.73627290786084,76.23596921360856,84.92314702744085,72.43638278965464,0.23583904,0.4787241,0.5753909,0.194792,0.48870602,0.8057494,0.19955266,0.48419872,0.7592558,0.1796819,0.55182415,0.69368,0.18722868,0.5430346,0.5266321,0.31997922,0.6570795,0.6962058,0.34989333,0.55303687,0.6070685,0.6151087,0.59214896,0.68019265,0.58123577,0.5351276,0.33664647,0.5302503,0.41947967,0.47528347,0.5378391,0.42766482,0.21487735,0.8007518,0.6543018,0.56575423,0.7692026,0.59130996,0.5234544,0.7903895,0.4256436,0.5045909,0.76961577,0.42034513,0.6472414,0.8747978,0.5163306,0.0438474,0.83250874,0.5439153,0.08235039
hunched,37.647184542422444,86.05093056034937,76.24594811998594,84.42343991510789,73.08387789278268,0.23663929,0.4783306,0.5568261,0.19529623,0.48883674,0.8075416,0.19988605,0.48390588,0.74460196,0.18163392,0.55182475,0.6892477,0.18797146,0.54237,0.5496006,0.31746328,0.6573464,0.6983909,0.34892786,0.55215526,0.6131814,0.6136736,0.59222794,0.6423189,0.57896304,0.53461426,0.35137877,0.5277912,0.41732708,0.5198173,0.53726184,0.42752752,0.2233198,0.8039586,0.6624688,0.55845064,0.76885885,0.5926657,0.52734065,0.7901076,0.4255457,0.46184883,0.7686589,0.41992578,0.6430684,0.8738313,0.516344,0.043597396,0.8325225,0.54390097,0.08368051
hunched,36.30331845281256,87.9064470710317,76.21875030671094,84.21157427724327,72.66637574957649,0.23471534,0.47843432,0.5279858,0.19328558,0.49013925,0.80290705,0.19823687,0.48359224,0.7559231,0.18139312,0.5538457,0.7292684,0.18803564,0.54386425,0.5445897,0.32094812,0.6570797,0.71574473,0.34867844,0.55370253,0.63571775,0.6146436,0.59221965,0.68890345,0.578874,0.53701943,0.3350463,0.53059924,0.42167932,0.5396742,0.5363254,0.42888626,0.22727127,0.801859,0.6523895,0.5596225,0.76820487,0.5929988,0.5604886,0.7912271,0.42288098,0.4358125,0.7668685,0.41788355,0.63787556,0.8573086,0.48569617,0.038912077,0.8070604,0.5324412,0.081291005
hunched,37.3649209764364,87.1108051648061,75.92456722896934,82.89422203164457,71.23941262817742,0.23729096,0.47699633,0.50507593,0.19587843,0.48831818,0.82680494,0.20033142,0.4830036,0.7457704,0.18332505,0.5514881,0.6758667,0.18843935,0.54318464,0.5455409,0.3195724,0.65625674,0.7336572,0.34955224,0.55474454,0.6458115,0.6146237,0.5929701,0.7264686,0.581395,0.5371322,0.33141497,0.53106064,0.42300954,0.5625766,0.5360669,0.43088675,0.23919207,0.8060317,0.6631582,0.5472401,0.77136725,0.5925719,0.53044164,0.79740846,0.4253131,0.35758024,0.7653739,0.4193264,0.6242746,0.8535122,0.5006849,0.040845897,0.80655336,0.5326656,0.078603595
hunched,38.010497812960736,91.32079397769508,76.51989334721681,79.52074378925109,71.832894595349,0.237339,0.47498974,0.44059104,0.1960524,0.48686847,0.802431,0.20078412,0.4816618,0.733216,0.1847479,0.5504207,0.665143,0.1902536,0.54171103,0.56771576,0.3198484,0.65676385,0.705684,0.35144085,0.5537002,0.60583025,0.6145956,0.59502584,0.7021861,0.58107746,0.5367923,0.31924078,0.53153896,0.41939995,0.5220944,0.53365374,0.421609,0.23716691,0.8085765,0.6624578,0.5399893,0.78111494,0.59216756,0.52826846,0.8168134,0.4251948,0.34231475,0.7648789,0.41922927,0.57532275,0.87383854,0.5162172,0.041396394,0.83202565,0.54563135,0.075069584
hunched,37.01790203315176,88.7012283734219,77.37016993661337,81.88983588400502,73.3228047401389,0.2353622,0.47468925,0.4805687,0.19359307,0.48868266,0.8667247,0.2003343,0.48249888,0.8096274,0.1830169,0.5546925,0.7246664,0.19056927,0.5429025,0.60873264,0.3160875,0.6557352,0.74532634,0.3514136,0.5551475,0.63588035,0.61060643,0.59383637,0.69000775,0.58022726,0.53662455,0.30295736,0.5322176,0.42181903,0.5320941,0.53821063,0.42888704,0.21769674,0.8038494,0.6642536,0.52941,0.7775148,0.593013,0.46371213,0.80260026,0.42428327,0.38273162,0.7682819,0.41869617,0.60999763,0.8696043,0.5299732,0.038395353,0.8281162,0.54381937,0.075694315
hunched,37.9142348195337,92.33177125788364,76.90655035613123,81.82366501132594,73.23004394102097,0.2396398,0.47502667,0.52069974,0.19738369,0.48820052,0.8458172,0.20329641,0.4833641,0.78065,0.18416779,0.5525529,0.70462894,0.19121026,0.5420046,0.6169475,0.31594777,0.65592235,0.74182117,0.35178363,0.5549045,0.6304119,0.6118421,0.59371626,0.652407,0.57861835,0.5347182,0.33251783,0.5307497,0.41954237,0.54442286,0.53531766,0.42676154,0.18646443,0.80361116,0.6625106,0.5395607,0.77332354,0.6009051,0.4610578,0.81654805,0.42408282,0.37496227,0.7671339,0.4189743,0.6198889,0.87317383,0.516633,0.03936642,0.8310243,0.5458981,0.07903843
hunched,37.55276982688667,95.37992075992025,77.23803992711946,84.0750661164914,68.69070021863048,0.23744641,0.474279,0.4781353,0.19489771,0.4870143,0.83920413,0.20142335,0.48187193,0.79175305,0.18253133,0.55267847,0.71127075,0.1901446,0.5413548,0.58249456,0.3162297,0.65619,0.7577871,0.35366127,0.55225533,0.57077277,0.61052823,0.59290403,0.72937334,0.5878098,0.5352154,0.32752147,0.53037596,0.4202152,0.48591268,0.5363511,0.4271922,0.18487814,0.8011295,0.65293396,0.5059415,0.7706518,0.5916012,0.52715015,0.8210358,0.42518458,0.35214493,0.76903385,0.4182143,0.5696225,0.87147105,0.5165557,0.037888072,0.83045375,0.54567355,0.07405751
