class,neck_inclination,left_hip_angle,left_bicep_angle,right_hip_angle,right_bicep_angle,y1,x1,s1,y2,x2,s2,y3,x3,s3,y4,x4,s4,y5,x5,s5,y6,x6,s6,y7,x7,s7,y8,x8,s8,y9,x9,s9,y10,x10,s10,y11,x11,s11,y12,x12,s12,y13,x13,s13,y14,x14,s14,y15,x15,s15,y16,x16,s16,y17,x17,s17
hunched,53.07342029064982,86.86795095867711,84.50303893969523,81.41771954819541,72.18606318676285,0.38893193,0.4403064,0.5271961,0.34628862,0.44743177,0.5484516,0.34915745,0.4445264,0.5378378,0.3270443,0.50086135,0.5733654,0.33349678,0.497317,0.5313732,0.40873516,0.61065316,0.6515179,0.48880255,0.5141619,0.62861806,0.67685956,0.53769547,0.6657767,0.6689057,0.5029003,0.21718353,0.61933756,0.385619,0.45907113,0.6274715,0.39712876,0.28470042,0.9164847,0.6236236,0.43159148,0.8871765,0.5573395,0.3354157,0.90940136,0.3804879,0.43060714,0.87967175,0.37801522,0.43422028,0.93474954,0.43478814,0.06917504,0.8551614,0.52537864,0.09359936
hunched,47.293069914714366,86.58620565541409,83.14884465371348,78.47112129873854,64.07965317033322,0.38090405,0.43952107,0.5746052,0.34490275,0.4456511,0.5827141,0.34755105,0.44404188,0.6386059,0.32144424,0.4988216,0.5242557,0.32594198,0.4950408,0.5921955,0.4193039,0.60576075,0.6984426,0.4887211,0.5134646,0.59853894,0.67753863,0.53804415,0.65887105,0.6767992,0.51631093,0.19342573,0.6183827,0.3882127,0.4800476,0.62286395,0.4009269,0.23149587,0.91752094,0.62048125,0.43038765,0.88622516,0.5537895,0.30721664,0.9102912,0.37991658,0.5331156,0.868804,0.3803641,0.42803368,0.93607396,0.42174432,0.06986798,0.91547745,0.47340232,0.12215076
hunched,50.804788860741915,84.66246238511249,83.12733638801711,76.83813235121522,69.90093460747588,0.3870219,0.44025603,0.58028495,0.34958908,0.44640633,0.520852,0.35164398,0.44479904,0.5603365,0.3252169,0.4988292,0.56783897,0.32973725,0.495433,0.570933,0.41244167,0.6068062,0.60932726,0.49016052,0.51515216,0.57752806,0.6771938,0.5360797,0.59962225,0.6613914,0.51319844,0.20972294,0.6176834,0.3875151,0.45220956,0.61842585,0.39980942,0.25269085,0.9216685,0.62656593,0.45665565,0.8908698,0.5564682,0.26821798,0.9081136,0.37751985,0.47452033,0.86846036,0.38092908,0.4693866,0.9353018,0.41953325,0.06944882,0.91516495,0.47254968,0.11333624
hunched,47.95990110164777,87.34471182312235,82.707990093735,80.19047115812751,74.44692410392877,0.38727316,0.43765497,0.52022463,0.35019636,0.44475818,0.50836164,0.3526854,0.4423008,0.5223015,0.32471293,0.4986825,0.6123096,0.33100885,0.49324775,0.5415976,0.41746604,0.6024532,0.6948461,0.4779397,0.5128246,0.6614714,0.67896265,0.53863835,0.69304925,0.6538568,0.501533,0.2275147,0.6211511,0.38808307,0.55749303,0.61750877,0.3973061,0.30437773,0.91306394,0.62166625,0.4502529,0.8815409,0.5530148,0.25504,0.91122305,0.3793012,0.491521,0.8690444,0.37964827,0.46040112,0.93381035,0.43575874,0.08100051,0.85499066,0.52277416,0.12054504
hunched,49.843061056344155,86.5328618779963,83.00919460594339,80.86855184835888,69.82466188501434,0.3903134,0.43762824,0.46250162,0.35273558,0.4436954,0.525937,0.35964262,0.44120917,0.55125064,0.32932448,0.49493217,0.5730876,0.3316408,0.49216768,0.5295377,0.41922116,0.6024539,0.6504873,0.47755572,0.5115573,0.61632276,0.6794802,0.5363588,0.61328006,0.656022,0.511357,0.23325513,0.62099075,0.3858783,0.52854174,0.6131495,0.39508125,0.32420033,0.91443145,0.622446,0.5069806,0.8744561,0.5523193,0.27739763,0.90948576,0.3772062,0.37405846,0.86455643,0.37892607,0.40935472,0.93456787,0.45026985,0.085638024,0.84549874,0.5221243,0.14987148
hunched,51.2502918052298,87.60954239027694,83.91433127475348,85.2364887858044,71.03482797196803,0.3904593,0.43912077,0.50312316,0.35452735,0.44482017,0.5141325,0.35986596,0.44208834,0.5595442,0.33126718,0.49513212,0.57378507,0.33184952,0.4921145,0.59901404,0.41734967,0.6034156,0.68580574,0.47540817,0.50834996,0.6588274,0.6767451,0.53794116,0.6845652,0.65730774,0.50239336,0.20187688,0.6212994,0.38766414,0.55820274,0.616622,0.39551637,0.30669367,0.9097745,0.62478507,0.5743836,0.86619395,0.5479542,0.4080677,0.9101802,0.37857014,0.45393014,0.8692464,0.37707457,0.34973773,0.93701184,0.4182786,0.07007281,0.85495627,0.52346164,0.1254788
hunched,47.039441110479075,87.24349889227761,83.54044671958698,83.27175390782786,75.15911475887518,0.37946376,0.4337574,0.5655966,0.34657538,0.44283375,0.6645396,0.3493179,0.43993497,0.6909674,0.32431784,0.49391437,0.62988204,0.3300025,0.49024472,0.55637807,0.42208418,0.59980166,0.75755745,0.48232114,0.51267684,0.63269204,0.6758799,0.5374698,0.61658704,0.6528144,0.5014373,0.2286917,0.61959106,0.38495943,0.5539896,0.61582446,0.39160368,0.27108142,0.9115333,0.62600875,0.55130917,0.86758703,0.55323905,0.4061883,0.9128691,0.37785602,0.45994237,0.8654105,0.3795814,0.36292097,0.93823564,0.41974932,0.06913816,0.8486852,0.5223365,0.17589056
hunched,49.64777365771461,90.08043162442073,85.96364757294577,85.88795222884022,79.50616133537311,0.38953754,0.434508,0.50233245,0.35511503,0.44292718,0.5496244,0.35978374,0.43805107,0.543244,0.32904312,0.4932362,0.6303923,0.33315355,0.48776656,0.5560277,0.41852558,0.5995204,0.7389354,0.48143277,0.5097317,0.60822344,0.67068875,0.5285695,0.6311903,0.64626896,0.48862514,0.29145753,0.6187753,0.383989,0.5687575,0.615521,0.39280254,0.2653672,0.89532304,0.623522,0.52803534,0.86316824,0.5507296,0.39242136,0.90794104,0.37968034,0.46775267,0.86917245,0.38032222,0.39277497,0.9370822,0.42012882,0.067991555,0.8548698,0.5223802,0.17153002
hunched,50.59396829866428,78.81527404044797,83.0656802703794,81.53378495276144,83.12484336897005,0.3894715,0.4356892,0.49399552,0.3529864,0.4419423,0.51373374,0.35891673,0.43953466,0.55577886,0.33217236,0.490518,0.53579247,0.333366,0.48982045,0.56096566,0.41920468,0.5974453,0.7033862,0.47669038,0.5127434,0.6307106,0.6769464,0.5331902,0.6159154,0.6374191,0.49511543,0.25476938,0.6230751,0.39235747,0.6615597,0.61366105,0.3932957,0.31287536,0.907717,0.6266615,0.5660181,0.85909486,0.5575656,0.29947844,0.8750378,0.38691977,0.49140444,0.85362524,0.38166055,0.36354038,0.93521893,0.42009258,0.06352394,0.84440887,0.51461715,0.14807552
hunched,50.269795953618576,85.98736881993322,82.11754073055491,82.31537715986433,85.54371388239505,0.3824503,0.43195987,0.5927681,0.34782058,0.43947527,0.67162395,0.350488,0.43744865,0.653488,0.3266471,0.48995742,0.5695193,0.33289808,0.4880304,0.49708712,0.41523772,0.59754366,0.7331481,0.48188412,0.508104,0.59870255,0.67601645,0.53362954,0.6106492,0.64076376,0.47757632,0.25209773,0.62074035,0.3943987,0.60217613,0.61762106,0.39317042,0.29820663,0.9091181,0.6233964,0.49807438,0.8697107,0.5500721,0.3809605,0.90481615,0.38085505,0.36908132,0.86523867,0.38025352,0.39882073,0.9357736,0.4212173,0.062292516,0.85572875,0.5236537,0.17540221
