class,neck_inclination,left_hip_angle,left_bicep_angle,right_hip_angle,right_bicep_angle,y1,x1,s1,y2,x2,s2,y3,x3,s3,y4,x4,s4,y5,x5,s5,y6,x6,s6,y7,x7,s7,y8,x8,s8,y9,x9,s9,y10,x10,s10,y11,x11,s11,y12,x12,s12,y13,x13,s13,y14,x14,s14,y15,x15,s15,y16,x16,s16,y17,x17,s17
hunched_roundshoulder,41.9592644206513,90.3499404164146,93.85514568714096,81.14828224581674,108.22157434204901,0.39620465,0.48230383,0.6353583,0.3546853,0.49021918,0.6236665,0.35675925,0.48832092,0.55942607,0.33791,0.5471291,0.59136355,0.33964342,0.5437119,0.6592866,0.4332078,0.6334702,0.6749474,0.4701366,0.5591617,0.65256363,0.6617012,0.54861856,0.5234967,0.609375,0.50571615,0.31512988,0.6180483,0.40141374,0.7447795,0.6048174,0.41176778,0.4889112,0.88880366,0.6306048,0.4572734,0.860743,0.59692323,0.37557614,0.88876235,0.40315172,0.38362354,0.8493922,0.40183344,0.25628117,0.91144955,0.46631962,0.06413433,0.82900214,0.5310822,0.15293422
hunched_roundshoulder,42.48605105831151,88.90261650109973,93.28201768369601,76.73313868329377,105.27238745089672,0.39896208,0.48230585,0.6838382,0.35557514,0.49019954,0.6040894,0.3623339,0.48600146,0.5315181,0.33672196,0.5463484,0.6111069,0.33833563,0.5423898,0.66961235,0.43292934,0.63514626,0.66851944,0.47460896,0.55182755,0.64639294,0.6621788,0.5468384,0.47388366,0.6103663,0.50136083,0.3663633,0.61340314,0.39478207,0.69170463,0.6021669,0.4098463,0.4512511,0.8900448,0.633044,0.57504696,0.857532,0.58945113,0.46748823,0.88457674,0.4028721,0.38073194,0.8325138,0.40332007,0.3234235,0.9100821,0.46625796,0.053753644,0.8288082,0.532724,0.16298772
hunched_roundshoulder,42.39129201324301,89.46808103229591,94.68825801115327,84.64805068596377,106.39839877708668,0.39081573,0.481239,0.6231658,0.35075518,0.48946142,0.7230604,0.35288244,0.48618174,0.6284479,0.3346929,0.5451295,0.55275214,0.33614343,0.5408808,0.6213754,0.4310466,0.63376623,0.655323,0.47176027,0.5575154,0.6137265,0.6587055,0.54319566,0.4300957,0.6120795,0.49945053,0.3511814,0.61535746,0.40146485,0.70281285,0.6022371,0.40707275,0.39063197,0.9033959,0.63331974,0.5265916,0.8635506,0.59084314,0.417437,0.90105414,0.40439758,0.4092174,0.861958,0.40454268,0.29549262,0.9159311,0.4550817,0.050017532,0.8350619,0.5311376,0.14077936
hunched_roundshoulder,42.35858754366731,85.8875182844568,91.25558251922327,73.80431941624646,107.36162620478773,0.39486134,0.48049593,0.6315167,0.3529486,0.48743525,0.6469254,0.35474837,0.48482868,0.5559149,0.334423,0.5426006,0.55083126,0.33712488,0.540304,0.64850086,0.43199545,0.63225514,0.6547294,0.47621238,0.5497961,0.5887318,0.6651319,0.5455826,0.42762312,0.6091218,0.49368316,0.37029362,0.6140075,0.39825937,0.6710449,0.6004217,0.40377894,0.38159624,0.9044597,0.6317209,0.52431995,0.87472695,0.5968249,0.37606457,0.8878423,0.4041988,0.37825778,0.84291124,0.40599233,0.28269818,0.9146735,0.46680427,0.056552418,0.82752013,0.53148335,0.1112355
hunched_roundshoulder,42.960494721233566,89.13496587628522,91.94858717279111,76.05744172908275,111.46163166919547,0.3995028,0.48151112,0.65092856,0.35669813,0.48872647,0.60003334,0.364078,0.48443896,0.49792233,0.33574128,0.54372615,0.61090195,0.33804592,0.5396405,0.6494794,0.43046066,0.632622,0.6346143,0.47469836,0.5489071,0.64888364,0.66284347,0.54534334,0.5298368,0.60365117,0.49588022,0.3752395,0.6141257,0.4008873,0.6801013,0.6023271,0.41078267,0.3417433,0.89134014,0.6329068,0.5199513,0.8613806,0.58798474,0.40853894,0.8880414,0.4051032,0.3275982,0.83514917,0.40531683,0.29250947,0.9104029,0.46532068,0.05341439,0.82807106,0.531769,0.1485614
hunched_roundshoulder,43.369191626065074,88.94137099445038,91.84581331634992,73.6629345004272,105.16753721694785,0.39539295,0.47843716,0.5946698,0.35417432,0.4862028,0.6357046,0.35639977,0.48397836,0.53856397,0.33378693,0.53987765,0.5799228,0.33690283,0.53762823,0.6769174,0.42916834,0.63068986,0.6116413,0.47538173,0.54788494,0.6114801,0.6629808,0.54636747,0.4387978,0.6106467,0.49430877,0.38443738,0.6150348,0.3986784,0.65029806,0.60116273,0.4102884,0.33512732,0.9056264,0.6322136,0.47295934,0.8657629,0.58794355,0.33075556,0.9022381,0.4104576,0.32622635,0.83185923,0.40462682,0.33177015,0.9113053,0.46564412,0.056015067,0.82495606,0.528904,0.090035215
hunched_roundshoulder,43.95572648959021,87.15289962066088,91.37496056553675,73.33440923153876,104.71846593939786,0.3908478,0.47671008,0.5515571,0.35200486,0.4850338,0.61345285,0.35430044,0.4831879,0.62487787,0.3348937,0.5401544,0.6312817,0.3375141,0.5373654,0.67459744,0.4267876,0.62946683,0.62662774,0.47847748,0.54832345,0.6282402,0.66157246,0.5469872,0.52627337,0.61152184,0.4966747,0.36025998,0.61394453,0.400241,0.6436608,0.60172296,0.4106457,0.33423698,0.9045955,0.63634634,0.47693852,0.86856115,0.58985704,0.35777864,0.89655554,0.4086426,0.26880085,0.8337792,0.403786,0.33905125,0.9136964,0.44876966,0.053305916,0.81871843,0.5303665,0.112736486
hunched_roundshoulder,43.11414807616898,86.49681213955697,91.9161984157469,74.92441579861519,105.85686722874222,0.39386934,0.4743403,0.5154485,0.3517776,0.4844629,0.6051003,0.35382795,0.48102632,0.644685,0.33613467,0.5392724,0.6086263,0.33804226,0.53671485,0.66105026,0.43066654,0.6284728,0.6127236,0.47705102,0.54802567,0.5658223,0.66023064,0.54677844,0.5335608,0.61012185,0.49441963,0.33828074,0.6151107,0.40516672,0.6368501,0.60112315,0.41000205,0.29130822,0.90553236,0.64457196,0.5860062,0.8835265,0.5976138,0.36672965,0.8991486,0.41038537,0.248569,0.85559845,0.40187407,0.25915852,0.91279763,0.4469629,0.058427613,0.8211517,0.5281055,0.09170136
hunched_roundshoulder,43.3486017127504,90.39046757122594,91.21183515758933,81.92647984890215,105.74094525814877,0.38870317,0.47445425,0.51975083,0.35002634,0.48566714,0.68749577,0.35442472,0.48067862,0.7130886,0.33281887,0.5393634,0.5993762,0.3360517,0.5312617,0.6365461,0.42657107,0.6285599,0.6347906,0.47503695,0.54669136,0.59342164,0.66294944,0.54676723,0.4618453,0.6117481,0.4967198,0.35428748,0.6135349,0.39354864,0.6312747,0.60494494,0.40703127,0.32237208,0.88812196,0.6367439,0.639794,0.8449217,0.5792598,0.42824826,0.89387435,0.4024255,0.3916226,0.83557546,0.4033657,0.38156152,0.9151187,0.4384416,0.05428483,0.8981961,0.48065358,0.09038586
hunched_roundshoulder,43.42431980438727,91.57692607157054,91.75301836628613,83.82371515503493,104.224766205811,0.38314736,0.47199827,0.53861505,0.34626314,0.48360643,0.7663989,0.35162517,0.47688016,0.7252041,0.33462164,0.5378983,0.5594675,0.33801457,0.52776,0.64259243,0.4265002,0.625545,0.59786755,0.47835308,0.53964174,0.63016945,0.6615287,0.54228085,0.4375234,0.611522,0.49592566,0.34158292,0.6141232,0.39422917,0.6210552,0.6053741,0.40686622,0.2977797,0.88633394,0.63857,0.67024726,0.84341717,0.576294,0.39916134,0.8995224,0.4026339,0.34881845,0.84208095,0.40348598,0.32957244,0.9141395,0.4521668,0.062632605,0.8218126,0.52484065,0.09321266
