class,neck_inclination,left_hip_angle,left_bicep_angle,right_hip_angle,right_bicep_angle,y1,x1,s1,y2,x2,s2,y3,x3,s3,y4,x4,s4,y5,x5,s5,y6,x6,s6,y7,x7,s7,y8,x8,s8,y9,x9,s9,y10,x10,s10,y11,x11,s11,y12,x12,s12,y13,x13,s13,y14,x14,s14,y15,x15,s15,y16,x16,s16,y17,x17,s17
lieback,8.608956684,78.01625802,97.49700255,71.15906228,109.5997426,0.23497877,0.63586396,0.5621844,0.20045704,0.6565561,0.4503677,0.20325089,0.64935344,0.5100116,0.23652127,0.7108966,0.46543053,0.23954831,0.7015285,0.43576294,0.407206,0.68491954,0.6618581,0.4058774,0.6871368,0.4113975,0.5993137,0.5667677,0.6729318,0.5647028,0.609571,0.21444298,0.5305245,0.41295677,0.10408915,0.555464,0.52759093,0.17235056,0.81762576,0.6258442,0.20621437,0.7630545,0.63948673,0.23713037,0.7494518,0.44029877,0.20082061,0.6671095,0.44654304,0.20662042,0.8031205,0.38696644,0.03949901,0.7392545,0.4223003,0.04835308
lieback,9.142060454,87.04709999,96.37124394,71.62960084,105.8126827,0.23649246,0.6353996,0.5880128,0.20089893,0.65676206,0.4311728,0.20353107,0.6488992,0.552039,0.23757182,0.71140045,0.44385555,0.23802096,0.6976407,0.46532297,0.41056877,0.6834136,0.63707536,0.40318722,0.68499196,0.41240472,0.6009851,0.56554735,0.6904672,0.56931245,0.5902339,0.21181467,0.530089,0.416146,0.12551181,0.5538658,0.52775985,0.17092666,0.8005574,0.6182789,0.17952606,0.7783855,0.6399597,0.22458814,0.76091117,0.43847772,0.23087828,0.69452655,0.46186686,0.20254323,0.8512635,0.42514816,0.07350054,0.8175861,0.46111247,0.08121319
lieback,8.906568558,81.42495955,94.69194631,75.07378521,107.6252237,0.2367295,0.636825,0.5537707,0.20061676,0.6574363,0.425467,0.20286712,0.6517228,0.48344976,0.23645818,0.7111935,0.4552524,0.2385605,0.70206875,0.44769523,0.40844846,0.6840982,0.66657597,0.4017745,0.68625104,0.43412766,0.5993475,0.5657899,0.6393818,0.5589708,0.6092307,0.21300448,0.5719226,0.5121885,0.07405569,0.54792744,0.5351425,0.17420404,0.8150093,0.62566704,0.21456474,0.77565354,0.6397336,0.2741345,0.7589351,0.43939543,0.24764222,0.7094712,0.47607818,0.22373515,0.8078383,0.41080862,0.055063464,0.7955574,0.44726267,0.070781305
lieback,8.998332449,70.6448993,97.40795055,78.15767709,68.83114257,0.23483424,0.6356773,0.53639436,0.19761,0.6579895,0.38330534,0.2006379,0.64861745,0.4959812,0.23528907,0.7130993,0.4190899,0.23705243,0.6994835,0.4470344,0.40680212,0.68579614,0.61637044,0.40998635,0.6837772,0.3418354,0.59886277,0.56660825,0.6526809,0.56429267,0.609182,0.19553912,0.5288272,0.41232106,0.07991932,0.51873815,0.5666557,0.18430997,0.8033632,0.62585026,0.17004822,0.7648363,0.64114946,0.25218013,0.72608227,0.48020616,0.23131628,0.71059775,0.4808383,0.23997933,0.8476037,0.42653733,0.058318533,0.8159506,0.46360183,0.07872946
lieback,8.920110431,79.48360122,97.35354126,78.2014586,122.5353322,0.24161851,0.63640296,0.5706193,0.20795605,0.65564895,0.42984173,0.20846912,0.6482534,0.47368112,0.2418963,0.71247524,0.40570998,0.23984668,0.6978966,0.41474316,0.41110668,0.68577665,0.6645116,0.40164313,0.6848325,0.40594354,0.5991341,0.56803054,0.6980813,0.54783833,0.59350294,0.2078174,0.5272896,0.41184378,0.08825608,0.5483792,0.53631943,0.16987121,0.80285704,0.62581336,0.16818897,0.7638356,0.63917106,0.22639672,0.7423166,0.45214877,0.23299463,0.70814645,0.47729015,0.21672869,0.84828824,0.42681995,0.06069422,0.8159098,0.45087862,0.066708
lieback,8.220127816,80.68323516,95.43569927,79.30195234,124.0325097,0.23794371,0.6360671,0.5870246,0.20104852,0.6566578,0.42477566,0.2046454,0.6492117,0.49020076,0.23550425,0.71193016,0.4010075,0.23764968,0.7022969,0.42406777,0.41136867,0.686391,0.641508,0.4034811,0.68744344,0.41750866,0.5986656,0.5666914,0.66615444,0.5489802,0.59259784,0.19091815,0.51807547,0.40951943,0.110862814,0.5499362,0.5339341,0.17628399,0.80265415,0.62435704,0.15402786,0.764501,0.6394697,0.2185729,0.7446992,0.44937763,0.23090479,0.7094037,0.47255227,0.23493926,0.8488519,0.4257424,0.06004013,0.8157208,0.46449256,0.0761618
lieback,8.468023368,81.20226806,93.10068299,83.75108292,72.47596374,0.24242297,0.6361567,0.57118815,0.20697235,0.65514046,0.40632358,0.2062476,0.6506405,0.44546393,0.23606455,0.7097709,0.45014024,0.23882851,0.70166975,0.40868655,0.41424102,0.6831042,0.60626465,0.4069956,0.6900453,0.38305706,0.5984609,0.5687802,0.6812333,0.5588948,0.60891527,0.1861606,0.5587129,0.49624634,0.0757755,0.51483357,0.56581384,0.22769757,0.81744206,0.6239602,0.19583742,0.7618655,0.64073485,0.25867707,0.759904,0.43742487,0.24775663,0.72140706,0.48037058,0.27286354,0.8097255,0.4103857,0.050375335,0.8190931,0.46376696,0.072451316
lieback,8.096257244,81.40629947,95.74522296,71.68728862,85.92961957,0.23572408,0.63584095,0.5773717,0.19600497,0.65847856,0.45617384,0.19769564,0.6522916,0.43121633,0.22761492,0.71242833,0.43655425,0.23385358,0.70142245,0.43538427,0.40849453,0.68656206,0.6202223,0.405716,0.6875455,0.36558843,0.60007393,0.5709632,0.6595875,0.559443,0.62168354,0.18674527,0.57186604,0.5114544,0.08214042,0.5269444,0.558617,0.2156017,0.8210136,0.62584823,0.1923994,0.79608476,0.6406235,0.2597511,0.7643363,0.44007406,0.27622518,0.7200732,0.47884703,0.24914832,0.829797,0.41049057,0.051783204,0.838118,0.4631651,0.06231827
lieback,7.956268464,82.09023363,97.5346164,76.75784348,104.5718628,0.23597941,0.6358795,0.54853755,0.19662371,0.65671796,0.44558305,0.19845665,0.6513278,0.42534965,0.22779831,0.7113766,0.4430497,0.234376,0.70198935,0.42313457,0.40580255,0.6863675,0.6046107,0.40403005,0.69029325,0.39356783,0.59774834,0.5680416,0.6947259,0.56771994,0.6080714,0.18922569,0.52826935,0.41284537,0.11604418,0.5512903,0.531425,0.16803013,0.81899726,0.6268692,0.19992548,0.780127,0.6415648,0.24086048,0.76440036,0.4377608,0.26589876,0.71175784,0.4599072,0.21124461,0.8519467,0.42300254,0.059029073,0.83715624,0.46528822,0.06388894
lieback,8.468210857,83.18891054,96.73139299,75.78775854,97.33712831,0.2330771,0.6349124,0.5104992,0.19621754,0.6562087,0.4790104,0.1977229,0.6504808,0.4468168,0.23354815,0.7101025,0.4408655,0.23572826,0.700869,0.44485155,0.40598556,0.68429416,0.58546627,0.4090541,0.6888492,0.41928968,0.5989304,0.5684533,0.6665039,0.58134437,0.6068269,0.2036697,0.52911365,0.41345507,0.09619524,0.55556434,0.5280488,0.15449081,0.8183269,0.6258853,0.19393812,0.7799463,0.63951784,0.27242038,0.7675164,0.43456918,0.24000007,0.714043,0.4746521,0.22088768,0.85103893,0.42399412,0.06085652,0.8364146,0.45004365,0.060715865
