class,neck_inclination,left_hip_angle,left_bicep_angle,right_hip_angle,right_bicep_angle,y1,x1,s1,y2,x2,s2,y3,x3,s3,y4,x4,s4,y5,x5,s5,y6,x6,s6,y7,x7,s7,y8,x8,s8,y9,x9,s9,y10,x10,s10,y11,x11,s11,y12,x12,s12,y13,x13,s13,y14,x14,s14,y15,x15,s15,y16,x16,s16,y17,x17,s17
lieback,6.0022694494575655,92.75451534390676,159.5958293740061,75.2407628402135,139.92058154519225,0.34852558,0.60384196,0.6816,0.31102973,0.62412876,0.752782,0.3147774,0.6149566,0.5456203,0.32001305,0.6824924,0.6714339,0.32491255,0.6675567,0.57183224,0.48734355,0.70017815,0.65308505,0.49705893,0.67985415,0.52630275,0.5849105,0.5445003,0.16631211,0.6062535,0.55836767,0.24733454,0.6142786,0.40233937,0.3149146,0.610962,0.41418862,0.17606702,0.93166876,0.62507564,0.53768134,0.90405864,0.62497103,0.4841176,0.9024459,0.38142624,0.1137134,0.8377661,0.4644446,0.14244401,0.8272776,0.48445436,0.09768624,0.8234996,0.49476844,0.1850284
lieback,7.919974645932451,88.58027255341014,160.05285099174998,75.93398605983478,129.24611238102054,0.3497847,0.6064535,0.67465335,0.31197613,0.62523574,0.75434,0.3163266,0.6171351,0.5569103,0.3214517,0.68326914,0.6677449,0.32522067,0.6691551,0.5476167,0.48067403,0.70553607,0.6415734,0.4960239,0.6816927,0.51351464,0.5843505,0.54272145,0.16671,0.6179395,0.5732639,0.19290465,0.6144458,0.40742728,0.3438523,0.61133504,0.4158848,0.11516172,0.9313401,0.6356426,0.4798236,0.9044455,0.63567895,0.47146434,0.88561416,0.38240787,0.08038601,0.8338434,0.4467846,0.16746008,0.8277609,0.48607484,0.104518786,0.8245944,0.49626666,0.2180416
lieback,6.939784339672329,93.47998388659967,160.8728835035017,79.71287701060355,125.61000653485088,0.35230392,0.60616034,0.6142435,0.3139261,0.62414855,0.634107,0.3183645,0.6175844,0.63261116,0.32192907,0.6825058,0.68183786,0.32539654,0.67246497,0.5596761,0.48400718,0.70233697,0.62078536,0.49217933,0.68448865,0.49723905,0.58320725,0.5425493,0.16490166,0.6203376,0.57855755,0.21492028,0.6138762,0.4065256,0.3655384,0.609264,0.41883323,0.17142332,0.92840976,0.6261276,0.54392254,0.8934638,0.63601243,0.49206296,0.9017147,0.3824106,0.15002848,0.8349046,0.44654837,0.15360996,0.8289723,0.48546562,0.09502808,0.82435536,0.49595162,0.13997552
lieback,7.240250281827257,98.6244277279399,161.78782832395993,78.85574974146947,123.96649909600573,0.3517885,0.6058783,0.57464546,0.31221128,0.624898,0.6441236,0.31776613,0.6183115,0.5592158,0.3211463,0.68275356,0.6828834,0.3257072,0.67531985,0.5616267,0.4840802,0.7035618,0.621873,0.4878869,0.69673383,0.44206166,0.5828267,0.542808,0.1800094,0.62264115,0.5906401,0.21518846,0.61511993,0.4067184,0.3775049,0.6097547,0.4171214,0.14364061,0.92815036,0.6266793,0.49427235,0.9022894,0.6349209,0.48549315,0.923622,0.4101185,0.08156756,0.83594024,0.44887897,0.15483902,0.82756346,0.48374176,0.1174396,0.8240592,0.49418756,0.19417483
lieback,7.882603348198029,95.76608235274878,164.18943211916314,81.05307623897593,134.9673966609907,0.3504444,0.60552776,0.5816709,0.31184062,0.62352955,0.63787585,0.31682765,0.617695,0.5678681,0.31999204,0.68172354,0.68086374,0.32354593,0.6725124,0.5618163,0.48248714,0.7043395,0.5969755,0.49332428,0.68574053,0.44812986,0.5775527,0.5446095,0.16306698,0.60850585,0.5725282,0.21620336,0.61499816,0.40436193,0.340652,0.60977006,0.4155403,0.14620999,0.9287841,0.6258139,0.51336986,0.90362024,0.63425314,0.4767838,0.9108325,0.382113,0.09762483,0.85015553,0.44901404,0.1263685,0.82524073,0.48193836,0.11195235,0.81987685,0.48643214,0.13520627
lieback,7.26120621189307,98.3272120462068,166.47309220777856,82.23628356927559,135.63199774552393,0.350327,0.606934,0.4993709,0.3124599,0.6246008,0.64137685,0.3171397,0.6191228,0.5540237,0.31960046,0.68173665,0.67219317,0.32504824,0.67577684,0.5546879,0.48694175,0.7031703,0.628132,0.49214047,0.70009273,0.430879,0.57655585,0.543927,0.14485602,0.6113944,0.5757063,0.20810385,0.6166696,0.40256086,0.32556242,0.60976577,0.4133742,0.109162234,0.9274677,0.6258944,0.5230478,0.90294194,0.63607466,0.47720277,0.92063254,0.3845478,0.14303789,0.8477087,0.4510494,0.14044705,0.8296341,0.47880813,0.09732944,0.82303756,0.4839153,0.13661197
lieback,7.240460129994132,98.57802342271884,167.40852759574682,82.98729701946434,138.22005568715582,0.3498358,0.60718364,0.46450886,0.31218067,0.62582725,0.6794925,0.31560975,0.6231389,0.5566121,0.32149643,0.6835241,0.6369876,0.32766956,0.6772794,0.54794896,0.4843791,0.70432633,0.5717038,0.49221867,0.6979148,0.43939254,0.5750041,0.542072,0.14476177,0.6083523,0.5730168,0.20627666,0.61449707,0.40954047,0.2434361,0.6114582,0.41660953,0.10511307,0.92630255,0.6256383,0.4866553,0.9025795,0.63588536,0.46759647,0.91991186,0.38450617,0.11078895,0.8507943,0.45051607,0.13506371,0.8297523,0.48052356,0.13198051,0.82587457,0.4878973,0.18191528
lieback,7.218385280283007,97.83360110507915,164.41398141831647,80.09245794353784,138.75801504656437,0.34944773,0.6082142,0.47186276,0.31095052,0.627412,0.69513315,0.31471646,0.6242731,0.58999383,0.32180637,0.684133,0.6212801,0.32773453,0.6781737,0.56014043,0.4822619,0.7045622,0.6045037,0.49450058,0.6968389,0.47945935,0.57995385,0.5459097,0.13500842,0.60821533,0.5710415,0.19068713,0.61828685,0.4125528,0.29892167,0.61053187,0.41850653,0.11537461,0.92887354,0.62406164,0.45605838,0.9050843,0.6352565,0.47269532,0.9189305,0.38524336,0.110895745,0.84413904,0.45244893,0.15016547,0.83126485,0.48081008,0.12747106,0.8248193,0.48538542,0.17540805
lieback,7.900163980788162,95.89739956973145,164.14162079497305,73.76716318716159,89.87616434463666,0.3487607,0.60784656,0.46912992,0.3095435,0.62645113,0.7345197,0.31350896,0.62415284,0.6321361,0.3217165,0.6833549,0.66643304,0.32792723,0.6784588,0.56178194,0.48439416,0.7060475,0.6850881,0.4941365,0.69952893,0.46372056,0.5774498,0.5460922,0.142619,0.7000711,0.6016392,0.20505281,0.6153735,0.39764473,0.24103525,0.61077297,0.4148216,0.11534653,0.92729545,0.6351525,0.40438485,0.9060742,0.64705664,0.47446817,0.9130279,0.3796986,0.09329277,0.8321841,0.47705632,0.13126236,0.8299109,0.48225352,0.07692474,0.8251996,0.48659697,0.09544346
lieback,8.638421799712459,94.71837231520385,159.01772216265618,82.21504851114601,140.7099738283273,0.34951937,0.60848296,0.5010955,0.3106812,0.6273968,0.7404314,0.31472278,0.6246099,0.6442368,0.3228088,0.6836347,0.6603101,0.3289378,0.6771954,0.5373405,0.48003215,0.7076462,0.64628935,0.4933818,0.6958859,0.51816934,0.5779716,0.5456829,0.15086338,0.6065017,0.5650271,0.22883531,0.610479,0.36463597,0.25724465,0.6105833,0.41433507,0.18003431,0.927952,0.6287265,0.47501162,0.9035486,0.63712496,0.4539484,0.90517926,0.38203153,0.15906918,0.8502996,0.45065913,0.15506342,0.8304381,0.41796026,0.049744654,0.82761264,0.4886469,0.07409607
