class,neck_inclination,left_hip_angle,left_bicep_angle,right_hip_angle,right_bicep_angle,y1,x1,s1,y2,x2,s2,y3,x3,s3,y4,x4,s4,y5,x5,s5,y6,x6,s6,y7,x7,s7,y8,x8,s8,y9,x9,s9,y10,x10,s10,y11,x11,s11,y12,x12,s12,y13,x13,s13,y14,x14,s14,y15,x15,s15,y16,x16,s16,y17,x17,s17
hunched,26.775244981699043,96.23047374460712,98.00418507960022,84.72960997484289,102.38298520554955,0.3562743,0.61901444,0.41373977,0.3196525,0.61509717,0.5428192,0.31803071,0.6159784,0.47583622,0.29291072,0.57230324,0.6915335,0.29105797,0.5728449,0.74558794,0.4149177,0.5103676,0.6178818,0.4124715,0.50551796,0.63400567,0.64071655,0.59548634,0.5839203,0.6474314,0.6008197,0.74733186,0.61676025,0.70221764,0.1530298,0.625409,0.72972476,0.4711399,0.84609145,0.51945245,0.6263556,0.88498056,0.4850641,0.6358909,0.8616299,0.69622535,0.40074039,0.8746414,0.69709015,0.38407537,0.91815895,0.62961483,0.13106672,0.9339842,0.6536341,0.15036128
hunched,27.96418315588641,95.31749601862985,100.06025643488165,82.93995014813781,102.66929307517815,0.3597151,0.6177601,0.34027103,0.32283828,0.6143577,0.48580563,0.3196306,0.6139052,0.39529428,0.29339874,0.57213634,0.7019296,0.29132554,0.57169247,0.7426176,0.41537464,0.50698185,0.6039327,0.41405484,0.505326,0.60473317,0.6414515,0.5944589,0.57270914,0.6480856,0.60426456,0.7288444,0.6171104,0.71860754,0.12776838,0.62438333,0.7353744,0.36476004,0.8461084,0.5181732,0.55638623,0.8945934,0.4948054,0.58732027,0.85805434,0.6966544,0.4099176,0.8740306,0.69703704,0.41547683,0.9162664,0.6303848,0.11838022,0.94257295,0.6729935,0.13737841
hunched,27.61739887748256,90.8417413574122,102.61799835451134,81.3546973927237,103.35626667170885,0.35819647,0.61908823,0.3961399,0.32078022,0.61495966,0.5503377,0.31789497,0.61480564,0.45139578,0.29405865,0.57211566,0.72921586,0.29266244,0.5723774,0.70710456,0.41679835,0.5075099,0.5996942,0.4159945,0.50595134,0.6400428,0.6401229,0.5948065,0.5262962,0.64628106,0.5998125,0.7581015,0.6205742,0.7220778,0.1264307,0.62520134,0.7356848,0.38567019,0.85723054,0.51639706,0.5569457,0.8976175,0.48778293,0.59821683,0.8562473,0.69567597,0.37451273,0.8739145,0.69630915,0.32105017,0.9192741,0.6423486,0.13206984,0.9415184,0.67211694,0.14351094
hunched,28.27048173975159,91.62534164013108,101.75134980167428,86.66160411366187,102.55520842547142,0.3601173,0.61992514,0.38928157,0.3222504,0.6154328,0.56912315,0.31906676,0.6154778,0.4707541,0.294511,0.5732834,0.7233669,0.29279006,0.57289517,0.70040613,0.4175741,0.5066957,0.5973536,0.41634983,0.50547737,0.6209125,0.64239085,0.5948237,0.51565367,0.6478754,0.5991822,0.7375461,0.62083745,0.7215314,0.1311761,0.6249893,0.7362482,0.35989338,0.8569938,0.516589,0.5667954,0.8958181,0.4950668,0.59890705,0.85804915,0.6967771,0.4034918,0.88829136,0.70086795,0.34681642,0.91758466,0.6404514,0.123064764,0.94081223,0.6719591,0.13884437
hunched,29.448842966546625,90.65066681538109,100.66953662960347,87.35793506935549,103.10810540859478,0.35904676,0.6210423,0.38947624,0.31959236,0.6166897,0.5116644,0.3170848,0.6180474,0.54020613,0.29584652,0.57670814,0.6728999,0.2934324,0.5755042,0.6681576,0.418186,0.50720495,0.5848865,0.41632304,0.50383,0.5911941,0.6453625,0.5935227,0.50729996,0.6483632,0.5962526,0.66978836,0.6208999,0.7303678,0.16402169,0.6269232,0.73785895,0.36954236,0.858824,0.51703155,0.5673903,0.8963814,0.4957926,0.5872303,0.85683775,0.69856817,0.35219416,0.89035416,0.7009382,0.30095214,0.92786044,0.6429616,0.1270039,0.9421966,0.6723165,0.13785021
hunched,32.60241219315341,91.52733525573056,100.60503915327104,92.08124993704027,101.34481694227512,0.36013076,0.62148184,0.3716656,0.32208884,0.61705774,0.5586561,0.3199593,0.61771846,0.4889606,0.29630655,0.57947147,0.57319903,0.2911054,0.57844394,0.6054978,0.41937274,0.50024706,0.5804167,0.4199596,0.5039777,0.5980242,0.6439428,0.59233516,0.50542665,0.6502249,0.5939889,0.6306295,0.617466,0.72027975,0.12266452,0.6250558,0.7366455,0.3297729,0.8578522,0.5186105,0.52428955,0.89492863,0.4980836,0.5386619,0.85510725,0.6992077,0.37477002,0.90492123,0.70296717,0.32964078,0.9280562,0.6423003,0.13015197,0.9424905,0.6721616,0.1252338
hunched,30.101797725695004,92.57723778399908,99.34561374202322,88.27406151254013,102.2556021775288,0.36026812,0.62494606,0.42609307,0.32041192,0.6192221,0.5810215,0.3191105,0.6207546,0.537335,0.2979783,0.5787221,0.61899275,0.2964046,0.57883567,0.686031,0.41844425,0.5084459,0.5792928,0.4182545,0.5052054,0.55035615,0.64304787,0.5934678,0.500252,0.64874023,0.5945024,0.6332752,0.6178506,0.718566,0.16065823,0.62732553,0.7309073,0.44033793,0.8569274,0.51848465,0.6215181,0.89386666,0.49563763,0.6005502,0.86091554,0.698988,0.41888165,0.89181006,0.7011005,0.38033727,0.92153144,0.64227027,0.17856495,0.93567896,0.65378547,0.15389033
hunched,30.921529250073856,92.40258984692186,100.95680072571587,87.21188513433312,103.98685705664111,0.36307412,0.6251087,0.38445684,0.32335263,0.61912435,0.6121319,0.32048923,0.62033814,0.5656186,0.29820195,0.5780834,0.5718885,0.29499525,0.5792679,0.6751403,0.41813534,0.50578636,0.50137925,0.418442,0.5045675,0.5611884,0.64525276,0.59628546,0.43599224,0.6482679,0.6002257,0.5991188,0.6193944,0.7322404,0.15288702,0.6265558,0.7436007,0.4263641,0.85876936,0.5186907,0.57680285,0.89852834,0.49751672,0.6154591,0.86105216,0.69906014,0.39949,0.89161295,0.7009739,0.37353852,0.9222642,0.65115297,0.17532782,0.935842,0.6714669,0.14204217
hunched,31.533719043204567,91.90595313199188,99.37624714045072,86.98741779744981,102.75605013801564,0.35851085,0.62776494,0.45007595,0.32107833,0.621833,0.60381603,0.31783456,0.62294036,0.5273434,0.29784685,0.5813433,0.70314443,0.2942316,0.582324,0.72753334,0.4177661,0.5072873,0.55035555,0.41580725,0.505036,0.57581043,0.6432401,0.59264416,0.48979723,0.6482101,0.59209365,0.56266516,0.61841726,0.7162111,0.1727399,0.62801063,0.7399412,0.3766021,0.8615167,0.51714844,0.5929639,0.9007492,0.49628875,0.6064677,0.86351794,0.6983019,0.4141163,0.89368623,0.70067203,0.3964224,0.9216776,0.64289194,0.17865281,0.94456375,0.66522676,0.15458724
hunched,31.856836921569123,91.60967318617507,94.93502591567665,90.89422453099458,100.67573161118067,0.36423004,0.62706184,0.38187656,0.325356,0.62186986,0.5574692,0.32270718,0.6234111,0.55446434,0.30144402,0.58282274,0.64698577,0.29840204,0.58427,0.72733736,0.41912693,0.50922304,0.5558744,0.41713232,0.5055896,0.55249953,0.64548737,0.59289366,0.47433648,0.6501887,0.59082615,0.48917228,0.61444515,0.7059692,0.16803478,0.62528986,0.7410092,0.37521586,0.8627657,0.5204993,0.58937114,0.90110946,0.49607253,0.6397763,0.86324334,0.6985829,0.3715887,0.9083841,0.70224893,0.34289196,0.9191448,0.6422066,0.1696804,0.9429969,0.678849,0.14052375
