class,neck_inclination,left_hip_angle,left_bicep_angle,right_hip_angle,right_bicep_angle,y1,x1,s1,y2,x2,s2,y3,x3,s3,y4,x4,s4,y5,x5,s5,y6,x6,s6,y7,x7,s7,y8,x8,s8,y9,x9,s9,y10,x10,s10,y11,x11,s11,y12,x12,s12,y13,x13,s13,y14,x14,s14,y15,x15,s15,y16,x16,s16,y17,x17,s17
lieback,28.154124032466818,94.33694040100448,107.07958720339039,98.42562141176835,105.89821036378831,0.3552911,0.60882586,0.42694554,0.31784186,0.6047485,0.5037014,0.31591412,0.60557383,0.5546693,0.29011196,0.5604155,0.58066833,0.2891221,0.5628441,0.71904755,0.4126658,0.49442646,0.6241168,0.4131391,0.505524,0.6685427,0.6354618,0.59561217,0.5767238,0.64401734,0.60238165,0.64134336,0.620787,0.7094383,0.17410263,0.62758726,0.7389371,0.4797871,0.85355926,0.501707,0.45064873,0.8743956,0.4871525,0.38458583,0.865067,0.6959263,0.17091624,0.9155855,0.7050092,0.29529035,0.9276773,0.57781315,0.14149143,0.941766,0.6692685,0.14772798
lieback,25.666888831369555,94.7751653381525,107.98837802340644,101.3189236951316,110.03880764243344,0.3439203,0.60220927,0.41825542,0.3068339,0.5967862,0.49912485,0.30425662,0.59842825,0.5041307,0.28514907,0.5534317,0.59590435,0.2829866,0.55725163,0.8063466,0.41499838,0.49065986,0.58110565,0.4114021,0.4973199,0.6662828,0.63282526,0.5904542,0.4982727,0.63875973,0.5995015,0.592847,0.6189134,0.7102176,0.14849283,0.62918174,0.7311295,0.53623056,0.8570649,0.49641657,0.4115378,0.8771335,0.4875413,0.4308732,0.8709826,0.6940071,0.17133962,0.9252119,0.7040202,0.255461,0.92013204,0.598591,0.17089537,0.93788505,0.646719,0.19339834
lieback,23.266252434340405,93.89532085983898,102.8504706731019,94.93055214177029,114.13819838981588,0.33929467,0.5987518,0.3747746,0.3022384,0.5932203,0.5263823,0.29964608,0.59473294,0.48453167,0.27734745,0.55038655,0.71116495,0.276191,0.55258846,0.63629323,0.41468632,0.49099174,0.671261,0.4092071,0.48843548,0.66933495,0.62690794,0.5802848,0.43494096,0.63316536,0.59718734,0.44142064,0.60846144,0.68523604,0.14658342,0.62930614,0.7226011,0.47099984,0.84134424,0.50457263,0.43147773,0.8694772,0.48565316,0.41068074,0.8481681,0.69317126,0.2731088,0.8888208,0.695089,0.33331478,0.91940206,0.6139701,0.17154129,0.9331006,0.6463782,0.1846523
lieback,21.674116648639483,92.52551276141457,105.38018149637786,93.23369409531817,118.1704688682246,0.33447528,0.5915902,0.41856465,0.29863718,0.58578324,0.42285773,0.29772037,0.58727,0.46681535,0.2794819,0.5435907,0.6048613,0.2769477,0.5457111,0.7306806,0.4176155,0.48837873,0.717731,0.41274923,0.48287287,0.6917938,0.62153685,0.580167,0.4331058,0.6295489,0.5988795,0.4500134,0.6052345,0.68483216,0.15466861,0.62959355,0.72792625,0.5383321,0.84648913,0.50409025,0.41078874,0.8764161,0.48472676,0.40650377,0.84794104,0.6986994,0.27505383,0.8877699,0.701037,0.30600205,0.9196615,0.61505955,0.16575481,0.93355596,0.66823256,0.17431612
lieback,18.263219064072437,93.51357475693779,108.6167827478043,99.58654183480624,120.59853281627244,0.33870178,0.58456606,0.31285036,0.2987724,0.5803383,0.4590254,0.29903254,0.5805756,0.42591685,0.27724227,0.5397844,0.6653071,0.27535576,0.54133254,0.62317467,0.42287216,0.49145833,0.68352836,0.41744107,0.47495458,0.6269696,0.61632913,0.57516795,0.42719656,0.62597835,0.5902178,0.4004835,0.6074486,0.68133366,0.2288179,0.62963164,0.71566457,0.5431792,0.8438649,0.50747085,0.38668665,0.8744633,0.48813382,0.36821726,0.8483464,0.6997203,0.22238033,0.90444106,0.70321363,0.29755077,0.919611,0.632239,0.15209645,0.93354225,0.6678854,0.18178594
lieback,14.154186987046273,94.97032433330727,100.2170434272793,91.51892729286229,113.40900739402532,0.33039305,0.5773222,0.39869493,0.29327643,0.56985515,0.5955797,0.29203457,0.57217073,0.6157523,0.27352875,0.5275236,0.590983,0.2693864,0.5313099,0.5996457,0.42447492,0.48925087,0.65395755,0.41544437,0.4709909,0.6369834,0.63379765,0.568063,0.38197392,0.63310283,0.578622,0.4590726,0.61300695,0.6811777,0.1992853,0.62667674,0.7053363,0.35966453,0.845363,0.50581,0.4015314,0.8811578,0.4745083,0.44637725,0.8545777,0.6999634,0.27614915,0.8854055,0.69854134,0.3520852,0.9215292,0.64362663,0.14363831,0.93475044,0.66650826,0.16564006
lieback,13.680340824022721,86.41386632227633,102.0729560889335,93.39504365408139,111.4874771050148,0.32588422,0.56774974,0.54543054,0.29023254,0.56051457,0.5441625,0.28859627,0.56354016,0.51178384,0.27532154,0.5176975,0.6530229,0.26948488,0.52022785,0.6896553,0.42595136,0.48083496,0.63327765,0.41875193,0.4615488,0.64328104,0.6331436,0.56306905,0.41728276,0.63264227,0.5678893,0.41090074,0.61358774,0.6789972,0.14393328,0.62198806,0.6909578,0.25520948,0.8372357,0.5070611,0.3744215,0.8629451,0.47282916,0.41444612,0.81497973,0.68238,0.22864941,0.8705199,0.6964199,0.29507875,0.92005646,0.64375234,0.1418271,0.9291271,0.64529014,0.14821292
lieback,11.35527890697553,98.33479355618552,97.54913738652645,96.13356702066298,107.15788849203543,0.31558648,0.56153446,0.4595896,0.2806632,0.553234,0.60632294,0.2786634,0.5551382,0.5592181,0.2734353,0.5073736,0.6521664,0.2695425,0.50957566,0.68396616,0.41779542,0.47822824,0.67476404,0.41630277,0.45458546,0.77514255,0.63407755,0.5466117,0.49812907,0.6347964,0.55364805,0.5554807,0.612227,0.67057484,0.2906527,0.6189215,0.6787638,0.31420767,0.83803004,0.5073809,0.4382113,0.87150514,0.47525382,0.48586705,0.8529811,0.7031879,0.24805284,0.8854491,0.7010464,0.32623935,0.9211949,0.64185524,0.1582331,0.9341802,0.65436774,0.16780724
lieback,11.491775824422044,90.26290331582113,95.59601747260463,95.55152562035117,109.48834903684377,0.3114127,0.55576986,0.5624485,0.27671218,0.5462062,0.692367,0.27431622,0.5496007,0.58446527,0.26882327,0.4985877,0.6138098,0.26702127,0.50202066,0.6514208,0.41810971,0.4680755,0.69709325,0.41891468,0.44729385,0.7458566,0.63651276,0.5305048,0.51926666,0.6300006,0.53609264,0.5741561,0.61313355,0.6584379,0.35271415,0.6224334,0.6662646,0.37233332,0.83796537,0.5062065,0.44509286,0.86038554,0.47421557,0.4527702,0.8214935,0.6973069,0.18111682,0.8685869,0.70202184,0.32868332,0.9228585,0.6406399,0.16576125,0.9365908,0.6617555,0.16153507
lieback,6.844763367690568,92.31342172730734,92.3311938795277,96.88546156525466,103.24873900360534,0.30614105,0.5466293,0.5755999,0.26710743,0.53564733,0.6224486,0.2659595,0.5369968,0.67774576,0.27633488,0.48631737,0.6513475,0.27201128,0.48620415,0.6968608,0.4278277,0.4680376,0.70551264,0.42521697,0.43620062,0.6942981,0.64658356,0.51652384,0.38731968,0.6402202,0.5110451,0.4042683,0.6223681,0.6515659,0.2985925,0.6251405,0.65586346,0.30709404,0.8664586,0.5041753,0.5502206,0.8857511,0.47189912,0.5859455,0.8588416,0.6861845,0.14350493,0.89496034,0.6868698,0.1854707,0.913476,0.60237855,0.09510422,0.924643,0.6333693,0.11592938
