class,neck_inclination,left_hip_angle,left_bicep_angle,right_hip_angle,right_bicep_angle,y1,x1,s1,y2,x2,s2,y3,x3,s3,y4,x4,s4,y5,x5,s5,y6,x6,s6,y7,x7,s7,y8,x8,s8,y9,x9,s9,y10,x10,s10,y11,x11,s11,y12,x12,s12,y13,x13,s13,y14,x14,s14,y15,x15,s15,y16,x16,s16,y17,x17,s17
straight,13.918658684455584,94.73844624117451,93.00456856942093,90.7679684841869,102.24932523368156,0.31397527,0.5897111,0.41642502,0.27549425,0.5811541,0.576196,0.27324197,0.5828621,0.57788545,0.25811836,0.5375957,0.70330477,0.25523245,0.54146975,0.69748086,0.41497478,0.49851346,0.6449458,0.41491136,0.49318573,0.6914723,0.6335281,0.60078573,0.47320116,0.6417108,0.605806,0.58083916,0.5909092,0.705887,0.1271937,0.6077679,0.7403621,0.36100227,0.8611934,0.5185124,0.57273275,0.89859766,0.48128453,0.43234524,0.86767006,0.68926096,0.21407983,0.90698254,0.7018107,0.18105567,0.9180151,0.621148,0.17721409,0.918563,0.6709477,0.21325156
straight,15.29919036861028,95.77961295749458,96.23486555624343,90.2171956898954,104.0265131349622,0.30968451,0.58777964,0.46694776,0.2718499,0.57898283,0.6179153,0.2707222,0.5811807,0.6348811,0.25702906,0.53559196,0.7566431,0.2531838,0.54036134,0.63226867,0.4176501,0.49141416,0.7040591,0.416498,0.49776298,0.63507813,0.6394129,0.60553247,0.4287467,0.6455492,0.6107932,0.5203913,0.59441227,0.72279173,0.07378475,0.6133339,0.75931144,0.2578007,0.8816518,0.5179522,0.39498344,0.91848373,0.49490643,0.33400163,0.8888824,0.68314844,0.15319806,0.9204106,0.69812673,0.18275352,0.9203528,0.64637244,0.11918003,0.92539823,0.69073534,0.14520426
straight,15.071743950330484,88.15109078672323,101.74233395196985,85.17071042163148,105.3976667806531,0.3123606,0.58501476,0.40329304,0.27399,0.57709754,0.4892861,0.27324438,0.57951295,0.53248006,0.25760686,0.5349729,0.7722284,0.2540809,0.5404133,0.648344,0.41913575,0.49123794,0.7319412,0.4179071,0.49730155,0.5883707,0.6468237,0.6046128,0.38466364,0.646512,0.61222535,0.386451,0.6191995,0.70969915,0.06035532,0.61508584,0.76961446,0.2725708,0.901529,0.50441396,0.4436988,0.9263486,0.49468562,0.36772877,0.8911481,0.6784527,0.16415556,0.91022676,0.69796795,0.14777541,0.9383811,0.68424547,0.12050236,0.9338131,0.70155233,0.09703667
straight,12.762306403059211,96.48319757408676,109.22809833889877,84.22392325926265,110.0709983239917,0.30605167,0.58250624,0.4716954,0.27027816,0.5734686,0.48198125,0.2689889,0.5755905,0.5218833,0.25705847,0.5307534,0.67660683,0.25402173,0.5357813,0.6759636,0.41589552,0.49458328,0.65832955,0.4145369,0.49809834,0.5533273,0.6463355,0.60009307,0.49021205,0.64361894,0.60298985,0.30156186,0.6334648,0.7369348,0.06285652,0.630394,0.769875,0.30087608,0.8618204,0.51490295,0.43430656,0.8996157,0.49460497,0.38790536,0.87414837,0.69694525,0.3160189,0.8803057,0.7002833,0.35803562,0.93347067,0.6780935,0.13725968,0.9280181,0.68872654,0.10145079
straight,10.362761380305638,96.3076685426066,122.07669503568992,85.31941047005184,115.88312047745738,0.30944222,0.5805529,0.4368039,0.2709791,0.5714474,0.4212347,0.27003318,0.57400376,0.46068606,0.25661525,0.5300771,0.6662334,0.25377122,0.5343195,0.71259767,0.412126,0.5014891,0.6377504,0.41271192,0.49596834,0.54518133,0.6410576,0.60289186,0.44146085,0.6432789,0.6031582,0.2849435,0.6597691,0.7329615,0.07632106,0.6463914,0.79094744,0.16049097,0.8602983,0.51455975,0.51741016,0.8999745,0.49251872,0.4576987,0.8754844,0.70178676,0.3527729,0.8844329,0.7004304,0.36804402,0.92125356,0.670113,0.14765313,0.93268555,0.6994679,0.09485275
straight,12.598633835479792,97.94972115115854,121.95252219657908,87.10999920248403,113.61701397500889,0.31022733,0.5784054,0.3853017,0.27314067,0.5703489,0.4533721,0.27201658,0.5724146,0.43796036,0.25609583,0.52890295,0.6570342,0.25319618,0.53195614,0.7245633,0.41195744,0.4938809,0.58895797,0.4089839,0.4995924,0.46816045,0.6365758,0.59603,0.4601652,0.65462536,0.66416276,0.26732466,0.65268713,0.71844,0.087539025,0.6353385,0.7713166,0.119481444,0.86092424,0.51593983,0.4204711,0.9000334,0.49610767,0.35255572,0.87725663,0.6976194,0.36306277,0.8911748,0.70036066,0.4078667,0.9370625,0.6884304,0.15959832,0.9381194,0.69959116,0.111196615
straight,11.648009778960299,98.20624939600587,116.60874611450119,95.77786442906705,118.5444900271745,0.30944976,0.57711333,0.40279976,0.27145502,0.56737226,0.61170614,0.2696877,0.56901187,0.62263954,0.25769553,0.52563477,0.6180401,0.25289914,0.52814484,0.71137315,0.4125639,0.49353924,0.59828204,0.40970597,0.49491808,0.6474909,0.6341747,0.59555906,0.45411053,0.6329504,0.59890836,0.3370381,0.63819456,0.71741027,0.10560271,0.6434493,0.7672956,0.25092718,0.86158824,0.5160598,0.48180604,0.9002758,0.49559817,0.4029962,0.8786229,0.6984756,0.3166894,0.92123723,0.7056625,0.39656937,0.9350054,0.66938305,0.11027858,0.9480666,0.700677,0.10817828
straight,12.292188156161624,96.9778125530224,121.26883392103915,92.29280821639223,122.0348806175911,0.30687198,0.57689494,0.4009126,0.2700889,0.5665191,0.5552013,0.26878726,0.56826156,0.59056646,0.25505483,0.52422684,0.6242756,0.25097537,0.52901167,0.6677234,0.4130896,0.4896079,0.60592175,0.41020703,0.49941012,0.5750379,0.6351928,0.5990453,0.47636113,0.63545275,0.60306036,0.28486902,0.64567566,0.71795887,0.11590412,0.6563023,0.7652628,0.27810478,0.86375064,0.51485914,0.44097164,0.9017205,0.49289623,0.29376522,0.8758704,0.6987483,0.27958333,0.91322017,0.7085705,0.29690447,0.93593454,0.68110967,0.11818573,0.93226945,0.69317293,0.094980754
straight,11.34574169647593,102.47485124988621,124.56858027134236,90.99948457629364,128.67820947229063,0.30577365,0.57694715,0.4219398,0.26931873,0.56656975,0.58869773,0.2669369,0.5679237,0.6039844,0.25705156,0.5229718,0.6439938,0.25181723,0.52681047,0.6217781,0.41552648,0.49100438,0.62256473,0.41080403,0.4939254,0.6665348,0.635013,0.595187,0.48081088,0.63700724,0.5986288,0.4026681,0.6545768,0.716292,0.18560314,0.6750289,0.75295955,0.25358635,0.8574361,0.5119036,0.4196374,0.89998406,0.48459086,0.39454877,0.88961303,0.6988263,0.22099975,0.90813416,0.70763564,0.321002,0.92156196,0.6573609,0.11464552,0.9324443,0.6812046,0.1285172
straight,12.145853636393035,98.2900626473111,124.57504163029718,90.66264013699612,129.71246403717066,0.30474925,0.5758312,0.46617576,0.26785174,0.56508464,0.5877809,0.26582924,0.5669301,0.58101374,0.2579754,0.5225774,0.66438615,0.25386152,0.52622944,0.6202998,0.41332132,0.48896524,0.60494435,0.41225144,0.49306795,0.7030653,0.63101363,0.5941011,0.43751472,0.6318043,0.5990545,0.48808357,0.64928234,0.7121567,0.19594947,0.66991997,0.75256634,0.2665806,0.85749114,0.51220924,0.50425,0.8997194,0.48478648,0.38493752,0.87375927,0.68775976,0.19996963,0.90610135,0.70824206,0.26205063,0.9144582,0.63438624,0.07780422,0.92900515,0.68337166,0.10378703
