class,neck_inclination,left_hip_angle,left_bicep_angle,right_hip_angle,right_bicep_angle,y1,x1,s1,y2,x2,s2,y3,x3,s3,y4,x4,s4,y5,x5,s5,y6,x6,s6,y7,x7,s7,y8,x8,s8,y9,x9,s9,y10,x10,s10,y11,x11,s11,y12,x12,s12,y13,x13,s13,y14,x14,s14,y15,x15,s15,y16,x16,s16,y17,x17,s17
straight,10.426243298745417,109.36856117918009,92.12377469481277,118.22323890975213,92.3519439942262,0.31279725,0.53157014,0.5621385,0.2800603,0.523114,0.5686449,0.27969626,0.52533484,0.55180603,0.27438676,0.48284253,0.6947264,0.27305123,0.48475096,0.6933921,0.42638165,0.45472583,0.75137144,0.4286407,0.4565136,0.766113,0.63199985,0.5379894,0.52344024,0.6411618,0.5414603,0.72499335,0.59208953,0.64811224,0.30805746,0.6005274,0.65662265,0.40197203,0.8010268,0.5058145,0.67658776,0.8429863,0.45905694,0.56552255,0.8321713,0.6574945,0.34120923,0.9402864,0.6430457,0.33378845,0.89989746,0.59714127,0.10849877,0.9446556,0.665158,0.042615157
straight,8.953556202765249,109.71464003423546,92.79615217708715,119.84172053547834,93.94989407130737,0.31900403,0.5306651,0.6217241,0.28623018,0.5217857,0.56268173,0.28584215,0.5240161,0.5552691,0.27643123,0.48142728,0.7040037,0.27531266,0.4829648,0.7369931,0.4282485,0.4573817,0.72486264,0.43031344,0.4534174,0.74923617,0.6298591,0.53748006,0.54816866,0.64042795,0.5415001,0.7335978,0.5912752,0.6503582,0.27857798,0.5994108,0.66202754,0.37566775,0.80039954,0.50660586,0.70014185,0.8421228,0.46234676,0.65035707,0.83335114,0.6592723,0.36889046,0.9419281,0.645406,0.3904519,0.8998117,0.5947819,0.1095002,0.94518965,0.6650872,0.03832392
straight,5.689520282267154,107.63042829957358,91.90824124536384,122.99006891263905,94.2753252645018,0.3088109,0.53194183,0.6464852,0.27737284,0.5214252,0.6248888,0.2764465,0.52365005,0.60945123,0.27761006,0.47960564,0.7051478,0.27588856,0.48201177,0.7667535,0.42882615,0.46446154,0.7645908,0.43261778,0.4488209,0.7795665,0.6262124,0.5363321,0.55952567,0.6373215,0.53990334,0.6713667,0.58911777,0.64983076,0.2776638,0.59445745,0.65954393,0.39767247,0.80117035,0.5014393,0.70103943,0.8370991,0.46250018,0.6606996,0.83510923,0.66167367,0.36420152,0.9474088,0.6457016,0.4377693,0.9201781,0.6163861,0.11798638,0.9477572,0.6640909,0.033664525
straight,7.709289196490709,108.59408602919234,95.46672882180546,119.21682652831389,95.68246717692949,0.30798596,0.5298265,0.62758934,0.27564096,0.5197904,0.6588505,0.2750009,0.5221663,0.5937978,0.2733416,0.4782134,0.6346067,0.27256286,0.48136315,0.71772987,0.42927837,0.4569933,0.7832982,0.43487117,0.45258838,0.71181786,0.6278004,0.5369445,0.5929804,0.63770676,0.5431327,0.6448509,0.5963396,0.64336246,0.25685102,0.59960514,0.65784967,0.42329603,0.79953736,0.50644416,0.6935385,0.85076153,0.4629127,0.6630325,0.8294789,0.6606695,0.43110663,0.9480816,0.64753747,0.41212252,0.91714233,0.615151,0.113351904,0.96310115,0.6637161,0.02670585
straight,8.077259439042741,105.80040205487373,99.98798620327375,119.72163214949119,96.49435127300139,0.3068887,0.5298122,0.66023886,0.27075037,0.5195088,0.59852135,0.27037662,0.52196497,0.545089,0.2710371,0.47795987,0.5515256,0.27041376,0.48089415,0.65374005,0.42740104,0.45565262,0.7877115,0.43129426,0.4531401,0.7316721,0.6242559,0.53730744,0.58585936,0.6372682,0.5452096,0.6636672,0.60035205,0.6447708,0.25955167,0.59989476,0.66309625,0.46873954,0.8040773,0.50126994,0.6820858,0.8501825,0.4639804,0.66339207,0.82873094,0.65879035,0.3846183,0.95002604,0.64988226,0.40662095,0.903692,0.6154682,0.09607206,0.9643056,0.6634249,0.027703574
straight,7.03197416876821,108.28805257324075,103.0376724978736,121.75694655988494,98.82427223286531,0.31089473,0.5284176,0.6198893,0.2793619,0.5173795,0.67754495,0.27800342,0.51892424,0.6218381,0.27626365,0.4747927,0.6318725,0.2747758,0.47649595,0.65448457,0.4297886,0.45575595,0.7898353,0.4317585,0.44791862,0.6977304,0.6252821,0.5392696,0.5421641,0.6376703,0.54694295,0.69013107,0.60676706,0.64327335,0.23715344,0.6026106,0.6626361,0.5559515,0.80541086,0.49923506,0.73476774,0.842474,0.4651586,0.6846644,0.8375592,0.6546742,0.34142914,0.9455383,0.64841706,0.4743036,0.89815485,0.5956239,0.106446445,0.9603748,0.652366,0.031690374
straight,7.900569408795725,108.39820303398554,102.3590795434545,120.391455141016,97.79466902681008,0.30637717,0.5285687,0.6974252,0.27330604,0.5180878,0.6387119,0.27193478,0.51983213,0.57491344,0.2744277,0.47452864,0.58337826,0.2718132,0.4769934,0.626048,0.42925152,0.4529305,0.7883367,0.43222356,0.4529078,0.72928065,0.6264559,0.53864175,0.5796534,0.63810855,0.547493,0.6600135,0.6056839,0.6442033,0.2032305,0.6027243,0.66410434,0.5334416,0.8044793,0.4998243,0.73869264,0.84302396,0.46432683,0.6301451,0.8364758,0.66032064,0.35961816,0.9447395,0.6493527,0.40776876,0.9165761,0.6164562,0.110987015,0.9623019,0.6637346,0.029173197
straight,7.786162524249751,107.25803955583531,100.99720129465649,118.263127214505,97.70282347304092,0.30783302,0.528288,0.6155477,0.27388477,0.5179531,0.62082887,0.2725329,0.51959896,0.56828207,0.2730025,0.47502968,0.5476241,0.27067798,0.47743422,0.6122831,0.42743373,0.45380232,0.78677905,0.43088573,0.45278654,0.7072568,0.62831366,0.5380003,0.5884777,0.63789916,0.5457691,0.6419791,0.6062654,0.6440608,0.21281445,0.60304207,0.66355807,0.5076885,0.8037285,0.4990758,0.7326529,0.85065675,0.46158907,0.61244404,0.8334834,0.66123664,0.3783287,0.9464142,0.6490234,0.39894834,0.9160069,0.6180592,0.11018107,0.95904446,0.6651001,0.0368653
straight,7.80649411074619,108.18891237743802,103.80266051510421,118.68745954688121,96.96630368427093,0.30806205,0.52785057,0.61876625,0.27467662,0.5179528,0.6395708,0.27302235,0.51883173,0.5949541,0.2712536,0.47454238,0.54257023,0.27004713,0.47587368,0.5708727,0.4277382,0.4529758,0.7748204,0.43179712,0.45241243,0.722358,0.6253855,0.5378874,0.5588306,0.6399313,0.5446345,0.68843836,0.6076728,0.6443477,0.23392709,0.60364693,0.66382617,0.5130204,0.8042679,0.50006956,0.72621405,0.85107756,0.46382132,0.64540595,0.83575916,0.6611806,0.3700344,0.94904816,0.6550357,0.4186619,0.9034206,0.6117026,0.10736148,0.9621753,0.6638224,0.026971797
straight,8.64015378492182,117.28459333287395,103.29299179923785,120.79171788675708,95.96684893321213,0.30604166,0.5286287,0.6596837,0.27190146,0.5180988,0.6097554,0.270316,0.5191047,0.56413585,0.2739507,0.47418442,0.55115426,0.27198493,0.47578678,0.58325636,0.42641985,0.45089427,0.73527986,0.43157494,0.4554011,0.7710358,0.6251778,0.53660506,0.59063923,0.6386024,0.54167205,0.72090316,0.6065862,0.6416758,0.26646292,0.60430825,0.6563055,0.5376893,0.8029542,0.4980018,0.7713033,0.84177846,0.4657112,0.6491804,0.8597642,0.6527948,0.30825162,0.9452061,0.64962626,0.4363037,0.873536,0.5683618,0.1037176,0.9597826,0.6633057,0.032193076
