class,neck_inclination,left_hip_angle,left_bicep_angle,right_hip_angle,right_bicep_angle,y1,x1,s1,y2,x2,s2,y3,x3,s3,y4,x4,s4,y5,x5,s5,y6,x6,s6,y7,x7,s7,y8,x8,s8,y9,x9,s9,y10,x10,s10,y11,x11,s11,y12,x12,s12,y13,x13,s13,y14,x14,s14,y15,x15,s15,y16,x16,s16,y17,x17,s17
straight,16.122927005304074,98.36151689868427,91.92805562414604,98.37299161648991,97.50603889286369,0.30453926,0.5727581,0.6372967,0.26809487,0.5879696,0.7903763,0.27227652,0.5796799,0.65140116,0.26667193,0.6437584,0.719072,0.27206534,0.61862975,0.5199876,0.4326005,0.69198585,0.8461939,0.43209347,0.6101629,0.5553549,0.6752449,0.60071313,0.6588648,0.6201495,0.5695052,0.23628189,0.6270487,0.45821,0.60500556,0.61169064,0.46647596,0.31394735,0.8986127,0.65763426,0.641197,0.8621041,0.60573643,0.52267593,0.9139303,0.44630408,0.36276233,0.88459134,0.44121724,0.30702087,0.916084,0.4710157,0.07095794,0.9040687,0.50642246,0.10612414
straight,16.979898566551384,96.23451402887224,91.9076811698519,98.18453303691092,98.370488124788,0.30523193,0.5730245,0.62595975,0.26785675,0.58827776,0.77528644,0.272378,0.5797155,0.65046674,0.2664882,0.6437928,0.7286434,0.27271342,0.6177284,0.55591166,0.43006808,0.6940166,0.88005644,0.43299472,0.6085389,0.55911344,0.6764362,0.60089177,0.70226264,0.6191617,0.5674393,0.26658583,0.6280808,0.45883605,0.58572155,0.6121012,0.46842757,0.31521165,0.9016402,0.6669489,0.6716253,0.8608145,0.6060061,0.5213078,0.9129131,0.44815356,0.41554192,0.8831458,0.4439374,0.30639872,0.9160606,0.46968308,0.06416772,0.9014443,0.50523764,0.1253887
straight,16.285934083353734,97.52629404621842,91.1592290406019,91.53009829462093,98.63879161576445,0.30602726,0.5722306,0.621323,0.2698082,0.5870524,0.7457469,0.27333644,0.5794048,0.6232104,0.26881987,0.64310545,0.68690914,0.271455,0.6237276,0.51741976,0.4334842,0.6914765,0.8431957,0.43324077,0.6104833,0.5037126,0.67842233,0.600622,0.68012875,0.6216585,0.56662154,0.24876471,0.6288109,0.4580934,0.6173258,0.61386883,0.46688095,0.30690083,0.9026951,0.65856,0.71368706,0.8750726,0.612942,0.5313245,0.9161589,0.43927047,0.39388096,0.88053775,0.44364405,0.29451326,0.9170917,0.4556584,0.07095538,0.9036306,0.50464207,0.10310128
straight,16.28969982228823,97.10858699733711,91.5799208821505,97.90348441294321,91.93599913415078,0.3066033,0.57224435,0.61049837,0.27149862,0.58743054,0.7221945,0.2749777,0.57985365,0.6136861,0.27046278,0.64319515,0.6469122,0.27250588,0.62494653,0.5715936,0.43418616,0.6913016,0.83725655,0.4335676,0.6120506,0.52260923,0.67537963,0.60296917,0.69636816,0.6285558,0.58073944,0.25407055,0.62612927,0.45606813,0.6432555,0.61355686,0.46178824,0.31274787,0.90066475,0.65790683,0.668964,0.86244166,0.6055731,0.4990012,0.9117062,0.44819123,0.4050591,0.88251877,0.4429543,0.30489007,0.9153611,0.47206855,0.070826,0.9033522,0.5064078,0.11226134
straight,17.545283886710752,97.32056874841766,91.31175399495746,98.30990798931566,97.32593363463961,0.30656415,0.5713063,0.5810799,0.2711718,0.5862445,0.7078854,0.27458513,0.57948875,0.62114006,0.27045202,0.64256406,0.6612695,0.27262884,0.6255819,0.59200823,0.4304515,0.69343054,0.85712206,0.44229943,0.61883557,0.52652365,0.6776482,0.6024421,0.70123345,0.6239565,0.57664245,0.23157996,0.62798977,0.45736837,0.5999236,0.6126142,0.46400568,0.29918957,0.90037745,0.65879494,0.67571515,0.86429423,0.60495484,0.5080373,0.9118016,0.44821045,0.39742398,0.8825736,0.44265452,0.31014675,0.91659594,0.45824453,0.07446573,0.90457726,0.5053903,0.11626909
straight,16.551165727689853,95.64553315636374,91.20403508155718,97.9992436651068,94.93284708533142,0.3076229,0.5723154,0.58065724,0.27182645,0.58750415,0.71447414,0.2750547,0.57936853,0.61061275,0.27028304,0.643005,0.6768912,0.27228412,0.6245598,0.5674977,0.4327161,0.6915428,0.8529571,0.4413215,0.6115936,0.5394112,0.67638886,0.60274386,0.71822166,0.6268804,0.5765109,0.2345345,0.62653774,0.45646334,0.63914627,0.6155125,0.46407682,0.31092015,0.9001299,0.66512805,0.6588024,0.86157703,0.60491997,0.48172256,0.9092077,0.44953284,0.37619704,0.88128775,0.4464355,0.33189636,0.91367996,0.48535037,0.082354255,0.901416,0.5054983,0.116781436
straight,16.186155954354454,94.86607196828186,91.09812616828697,96.22670029246177,89.41565933041606,0.30642614,0.5721235,0.6036837,0.2715943,0.5872313,0.72594386,0.27491125,0.5801751,0.6290604,0.2712391,0.6427354,0.6580641,0.27309042,0.6252607,0.5941492,0.4327377,0.6898696,0.84449124,0.44087332,0.61155194,0.53931844,0.6760089,0.60200506,0.71824056,0.6375102,0.5786064,0.23959735,0.62673277,0.45693,0.64858395,0.61733246,0.46527907,0.3072154,0.9026925,0.66563475,0.6707447,0.8665945,0.6050836,0.49319655,0.9099466,0.44856602,0.34661564,0.8817587,0.44334435,0.31241786,0.9161727,0.4871803,0.07995571,0.90512824,0.5064623,0.11019638
straight,15.644503592212038,96.63897051076373,91.41368773813073,96.98851227172833,89.44216729458489,0.30452034,0.5722685,0.6189139,0.26893717,0.58763313,0.74912214,0.2729418,0.57993954,0.6637159,0.26869285,0.6436935,0.7012229,0.27122706,0.6244104,0.5385034,0.43337998,0.69006467,0.825357,0.44096085,0.61268514,0.51687396,0.6767015,0.6006151,0.7310302,0.6373562,0.5778021,0.24704792,0.628144,0.45773894,0.6408949,0.6165695,0.46704435,0.28888455,0.8976997,0.6574569,0.64138716,0.8608891,0.6054084,0.51231295,0.9075884,0.4415083,0.35164025,0.87806004,0.4419209,0.28874704,0.9152554,0.4563078,0.073762596,0.91283333,0.47327217,0.09667841
straight,16.759830902296574,101.80229299496989,90.56423760162374,97.96878102140852,95.74437601156649,0.30445248,0.5721643,0.61819357,0.26850706,0.5864611,0.7452502,0.2729015,0.57958907,0.6832093,0.26653782,0.6423398,0.73291534,0.270204,0.624128,0.5162783,0.43035042,0.6919438,0.8558254,0.4409359,0.61170226,0.5037635,0.678724,0.5999467,0.74752724,0.6274525,0.5743758,0.24755178,0.6283829,0.45981446,0.6320468,0.6167482,0.46466073,0.2931638,0.88502824,0.65640825,0.66135144,0.85935867,0.61202854,0.48410636,0.9119171,0.4474744,0.3949718,0.88319945,0.44268107,0.31668073,0.9166235,0.45872208,0.06693152,0.9132836,0.47590753,0.09855983
straight,16.420669011534574,100.80819994240954,91.9677663439805,99.27001402056601,95.73624125626499,0.30532902,0.5718512,0.60733277,0.2688979,0.58592725,0.71937424,0.273192,0.5791907,0.67255914,0.265993,0.6419541,0.74469554,0.26992708,0.6244544,0.5183796,0.4312541,0.6909251,0.8241412,0.43931895,0.61279076,0.51014256,0.6749028,0.6018941,0.7337891,0.62521744,0.5756164,0.2628024,0.62826693,0.4592529,0.62878436,0.6146709,0.46751234,0.30137405,0.8877604,0.6553642,0.6580474,0.85988736,0.6058373,0.51102376,0.91096365,0.44699192,0.39528695,0.883927,0.44150934,0.30519998,0.91642976,0.45918256,0.07326077,0.91383004,0.47583604,0.09796986
